extract_month,county_code,party_affiliation,voter_status,voter_count
2026-03,ALA,AMF,ACT,154
2026-03,ALA,AMF,INA,5
2026-03,ALA,ASP,ACT,92
2026-03,ALA,ASP,INA,5
2026-03,ALA,BPP,ACT,133
2026-03,ALA,BPP,INA,5
2026-03,ALA,CPF,ACT,153
2026-03,ALA,CPF,INA,26
2026-03,ALA,CPP,ACT,81
2026-03,ALA,CPP,INA,11
2026-03,ALA,CSV,ACT,363
2026-03,ALA,CSV,INA,19
2026-03,ALA,DEM,ACT,73123
2026-03,ALA,DEM,INA,17130
2026-03,ALA,ECO,ACT,65
2026-03,ALA,ECO,INA,10
2026-03,ALA,FFP,ACT,36
2026-03,ALA,GRE,ACT,204
2026-03,ALA,GRE,INA,48
2026-03,ALA,IND,ACT,3485
2026-03,ALA,IND,INA,429
2026-03,ALA,JEF,ACT,2
2026-03,ALA,LPF,ACT,604
2026-03,ALA,LPF,INA,174
2026-03,ALA,MGT,ACT,1
2026-03,ALA,NPA,ACT,37231
2026-03,ALA,NPA,INA,13403
2026-03,ALA,PSL,ACT,69
2026-03,ALA,PSL,INA,4
2026-03,ALA,REP,ACT,48042
2026-03,ALA,REP,INA,7802
2026-03,ALA,RFM,ACT,6
2026-03,BAK,AMF,ACT,23
2026-03,BAK,ASP,ACT,18
2026-03,BAK,BPP,ACT,3
2026-03,BAK,CPF,ACT,52
2026-03,BAK,CPF,INA,5
2026-03,BAK,CPP,ACT,16
2026-03,BAK,CSV,ACT,56
2026-03,BAK,CSV,INA,3
2026-03,BAK,DEM,ACT,2864
2026-03,BAK,DEM,INA,772
2026-03,BAK,ECO,ACT,6
2026-03,BAK,ECO,INA,2
2026-03,BAK,FFP,ACT,2
2026-03,BAK,GRE,ACT,9
2026-03,BAK,GRE,INA,3
2026-03,BAK,IND,ACT,198
2026-03,BAK,IND,INA,28
2026-03,BAK,LPF,ACT,50
2026-03,BAK,LPF,INA,7
2026-03,BAK,NPA,ACT,1890
2026-03,BAK,NPA,INA,640
2026-03,BAK,PSL,ACT,2
2026-03,BAK,REP,ACT,12443
