county_code,party_affiliation,age_band,voter_count
ALA,AMF,18-24,48
ALA,AMF,25-34,46
ALA,AMF,35-44,32
ALA,AMF,45-54,36
ALA,AMF,55-64,19
ALA,AMF,65-74,18
ALA,AMF,75+,1
ALA,AMF,unknown,2
ALA,ASP,18-24,22
ALA,ASP,25-34,30
ALA,ASP,35-44,25
ALA,ASP,45-54,11
ALA,ASP,55-64,10
ALA,ASP,65-74,4
ALA,ASP,75+,1
ALA,ASP,unknown,1
ALA,BPP,18-24,27
ALA,BPP,25-34,53
ALA,BPP,35-44,28
ALA,BPP,45-54,24
ALA,BPP,55-64,6
ALA,BPP,65-74,2
ALA,BPP,75+,2
ALA,CPF,18-24,38
ALA,CPF,25-34,44
ALA,CPF,35-44,31
ALA,CPF,45-54,22
ALA,CPF,55-64,28
ALA,CPF,65-74,13
ALA,CPF,75+,6
ALA,CPP,18-24,8
ALA,CPP,25-34,35
ALA,CPP,35-44,20
ALA,CPP,45-54,15
ALA,CPP,55-64,11
ALA,CPP,65-74,6
ALA,CPP,75+,2
ALA,CPP,unknown,1
ALA,CSV,18-24,76
ALA,CSV,25-34,93
ALA,CSV,35-44,72
ALA,CSV,45-54,52
ALA,CSV,55-64,47
ALA,CSV,65-74,24
ALA,CSV,75+,19
ALA,CSV,unknown,2
ALA,DEM,18-24,10009
ALA,DEM,25-34,19419
ALA,DEM,35-44,15223
ALA,DEM,45-54,10654
ALA,DEM,55-64,10167
ALA,DEM,65-74,12488
ALA,DEM,75+,11937
ALA,DEM,unknown,595
ALA,ECO,18-24,15
ALA,ECO,25-34,23
ALA,ECO,35-44,9
ALA,ECO,45-54,9
ALA,ECO,55-64,8
ALA,ECO,65-74,9
ALA,ECO,75+,5
ALA,FFP,18-24,5
ALA,FFP,25-34,6
ALA,FFP,35-44,8
ALA,FFP,45-54,10
ALA,FFP,55-64,2
ALA,FFP,65-74,5
ALA,GRE,18-24,41
ALA,GRE,25-34,69
ALA,GRE,35-44,64
ALA,GRE,45-54,30
ALA,GRE,55-64,20
ALA,GRE,65-74,16
ALA,GRE,75+,15
ALA,IND,18-24,801
ALA,IND,25-34,978
ALA,IND,35-44,600
ALA,IND,45-54,471
ALA,IND,55-64,429
ALA,IND,65-74,430
ALA,IND,75+,280
ALA,IND,unknown,16
ALA,JEF,18-24,1
ALA,JEF,25-34,1
ALA,LPF,18-24,57
ALA,LPF,25-34,218
ALA,LPF,35-44,221
ALA,LPF,45-54,130
ALA,LPF,55-64,91
ALA,LPF,65-74,39
ALA,LPF,75+,26
ALA,LPF,unknown,4
ALA,MGT,25-34,1
ALA,NPA,18-24,8205
ALA,NPA,25-34,12437
ALA,NPA,35-44,10067
ALA,NPA,45-54,6937
ALA,NPA,55-64,5471
ALA,NPA,65-74,4390
ALA,NPA,75+,3038
ALA,NPA,unknown,268
ALA,PSL,18-24,21
ALA,PSL,25-34,28
ALA,PSL,35-44,22
ALA,PSL,45-54,5
ALA,PSL,55-64,1
ALA,PSL,75+,1
ALA,PSL,unknown,2
ALA,REP,18-24,5793
ALA,REP,25-34,9119
ALA,REP,35-44,8117
ALA,REP,45-54,7462
ALA,REP,55-64,8633
ALA,REP,65-74,8531
ALA,REP,75+,8027
ALA,REP,unknown,466
BAK,AMF,18-24,8
BAK,AMF,25-34,5
BAK,AMF,35-44,4
BAK,AMF,45-54,6
BAK,AMF,55-64,3
BAK,AMF,75+,2
BAK,ASP,18-24,6
BAK,ASP,25-34,3
BAK,ASP,35-44,3
BAK,ASP,45-54,4
BAK,ASP,55-64,2
BAK,ASP,65-74,1
BAK,BPP,18-24,1
BAK,BPP,45-54,1
BAK,BPP,55-64,1
BAK,CPF,18-24,13
BAK,CPF,25-34,16
BAK,CPF,35-44,14
BAK,CPF,45-54,5
BAK,CPF,55-64,6
BAK,CPF,65-74,1
BAK,CPF,75+,1
BAK,CPP,18-24,5
BAK,CPP,25-34,7
BAK,CPP,35-44,3
BAK,CPP,45-54,4
BAK,CPP,55-64,2
BAK,CSV,18-24,13
BAK,CSV,25-34,16
BAK,CSV,35-44,10
BAK,CSV,45-54,11
BAK,CSV,55-64,5
BAK,CSV,65-74,3
BAK,CSV,75+,2
BAK,DEM,18-24,226
BAK,DEM,25-34,479
BAK,DEM,35-44,506
BAK,DEM,45-54,550
BAK,DEM,55-64,633
BAK,DEM,65-74,738
BAK,DEM,75+,495
BAK,DEM,unknown,13
BAK,ECO,18-24,3
BAK,ECO,35-44,1
BAK,ECO,45-54,2
BAK,ECO,55-64,1
BAK,ECO,65-74,1
BAK,FFP,18-24,1
BAK,FFP,45-54,2
BAK,GRE,18-24,6
BAK,GRE,25-34,4
BAK,GRE,35-44,2
BAK,GRE,45-54,1
BAK,IND,18-24,46
BAK,IND,25-34,53
BAK,IND,35-44,35
BAK,IND,45-54,27
BAK,IND,55-64,35
BAK,IND,65-74,25
BAK,IND,75+,9
BAK,IND,unknown,2
BAK,LPF,18-24,6
BAK,LPF,25-34,19
BAK,LPF,35-44,13
BAK,LPF,45-54,13
BAK,LPF,55-64,4
BAK,LPF,65-74,2
BAK,LPF,75+,1
BAK,NPA,18-24,310
BAK,NPA,25-34,596
BAK,NPA,35-44,596
BAK,NPA,45-54,392
BAK,NPA,55-64,328
BAK,NPA,65-74,209
BAK,NPA,75+,92
BAK,NPA,unknown,13
BAK,PSL,35-44,1
BAK,PSL,55-64,1
BAK,REP,18-24,1291
BAK,REP,25-34,2153
BAK,REP,35-44,2234
BAK,REP,45-54,2083
BAK,REP,55-64,2313
BAK,REP,65-74,1906
BAK,REP,75+,1435
BAK,REP,unknown,136
BAY,AMF,18-24,76
BAY,AMF,25-34,70
BAY,AMF,35-44,66
BAY,AMF,45-54,43
BAY,AMF,55-64,39
BAY,AMF,65-74,22
BAY,AMF,75+,5
BAY,AMF,unknown,1
BAY,ASP,18-24,25
BAY,ASP,25-34,34
BAY,ASP,35-44,24
BAY,ASP,45-54,17
BAY,ASP,55-64,14
BAY,ASP,65-74,9
BAY,ASP,75+,1
BAY,BPP,18-24,16
BAY,BPP,25-34,23
