affordability_direction,race_label,party_after,movers,movers_who_also_changed_party
similar pressure,1 American Indian / Alaskan,DEM,32,3
similar pressure,1 American Indian / Alaskan,NPA,28,8
similar pressure,1 American Indian / Alaskan,REP,58,6
similar pressure,2 Asian / Pacific Islander,DEM,309,58
similar pressure,2 Asian / Pacific Islander,IND,23,7
similar pressure,2 Asian / Pacific Islander,NPA,368,67
similar pressure,2 Asian / Pacific Islander,REP,350,57
similar pressure,"3 Black, Not Hispanic",AMF,103,94
similar pressure,"3 Black, Not Hispanic",ASP,16,6
similar pressure,"3 Black, Not Hispanic",CPF,16,4
similar pressure,"3 Black, Not Hispanic",CPP,27,22
similar pressure,"3 Black, Not Hispanic",CSV,42,14
similar pressure,"3 Black, Not Hispanic",DEM,4699,362
similar pressure,"3 Black, Not Hispanic",IND,250,114
similar pressure,"3 Black, Not Hispanic",LPF,12,2
similar pressure,"3 Black, Not Hispanic",NPA,1855,442
similar pressure,"3 Black, Not Hispanic",REP,549,134
similar pressure,4 Hispanic,AMF,86,76
similar pressure,4 Hispanic,ASP,25,16
similar pressure,4 Hispanic,BPP,245,145
similar pressure,4 Hispanic,CPP,16,13
similar pressure,4 Hispanic,CSV,42,11
similar pressure,4 Hispanic,DEM,3172,472
similar pressure,4 Hispanic,GRE,16,5
similar pressure,4 Hispanic,IND,307,161
similar pressure,4 Hispanic,LPF,19,7
similar pressure,4 Hispanic,NPA,3630,601
similar pressure,4 Hispanic,REP,3369,533
similar pressure,"5 White, Not Hispanic",AMF,263,243
similar pressure,"5 White, Not Hispanic",ASP,36,21
similar pressure,"5 White, Not Hispanic",BPP,19,9
similar pressure,"5 White, Not Hispanic",CPF,68,14
similar pressure,"5 White, Not Hispanic",CPP,61,48
similar pressure,"5 White, Not Hispanic",CSV,166,70
similar pressure,"5 White, Not Hispanic",DEM,9055,1091
similar pressure,"5 White, Not Hispanic",ECO,25,16
similar pressure,"5 White, Not Hispanic",FFP,16,10
similar pressure,"5 White, Not Hispanic",GRE,56,24
similar pressure,"5 White, Not Hispanic",IND,1826,916
similar pressure,"5 White, Not Hispanic",LPF,201,65
similar pressure,"5 White, Not Hispanic",NPA,9716,1855
similar pressure,"5 White, Not Hispanic",PSL,19,10
similar pressure,"5 White, Not Hispanic",REP,21961,1773
similar pressure,6 Other,AMF,16,12
similar pressure,6 Other,CSV,15,8
similar pressure,6 Other,DEM,418,70
similar pressure,6 Other,IND,59,24
similar pressure,6 Other,LPF,11,6
similar pressure,6 Other,NPA,504,78
similar pressure,6 Other,REP,437,69
similar pressure,7 Multi-racial,DEM,115,14
similar pressure,7 Multi-racial,NPA,95,17
similar pressure,7 Multi-racial,REP,71,12
similar pressure,9 Unknown,AMF,19,19
similar pressure,9 Unknown,DEM,549,100
similar pressure,9 Unknown,IND,67,39
similar pressure,9 Unknown,NPA,709,124
similar pressure,9 Unknown,REP,532,111
to less affordable (+1.0+ ratio),1 American Indian / Alaskan,DEM,14,1
to less affordable (+1.0+ ratio),1 American Indian / Alaskan,NPA,15,1
to less affordable (+1.0+ ratio),1 American Indian / Alaskan,REP,23,0
to less affordable (+1.0+ ratio),2 Asian / Pacific Islander,DEM,143,20
to less affordable (+1.0+ ratio),2 Asian / Pacific Islander,IND,11,5
to less affordable (+1.0+ ratio),2 Asian / Pacific Islander,NPA,174,27
to less affordable (+1.0+ ratio),2 Asian / Pacific Islander,REP,165,22
to less affordable (+1.0+ ratio),"3 Black, Not Hispanic",AMF,48,43
to less affordable (+1.0+ ratio),"3 Black, Not Hispanic",CPP,23,18
to less affordable (+1.0+ ratio),"3 Black, Not Hispanic",CSV,15,7
to less affordable (+1.0+ ratio),"3 Black, Not Hispanic",DEM,2469,220
to less affordable (+1.0+ ratio),"3 Black, Not Hispanic",IND,124,61
to less affordable (+1.0+ ratio),"3 Black, Not Hispanic",NPA,952,231
to less affordable (+1.0+ ratio),"3 Black, Not Hispanic",REP,281,85
to less affordable (+1.0+ ratio),4 Hispanic,AMF,52,47
to less affordable (+1.0+ ratio),4 Hispanic,ASP,10,7
to less affordable (+1.0+ ratio),4 Hispanic,BPP,125,68
to less affordable (+1.0+ ratio),4 Hispanic,CPF,13,5
to less affordable (+1.0+ ratio),4 Hispanic,CPP,12,11
to less affordable (+1.0+ ratio),4 Hispanic,CSV,22,6
to less affordable (+1.0+ ratio),4 Hispanic,DEM,1815,300
to less affordable (+1.0+ ratio),4 Hispanic,IND,202,100
to less affordable (+1.0+ ratio),4 Hispanic,NPA,2007,378
to less affordable (+1.0+ ratio),4 Hispanic,REP,2109,389
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",AMF,88,81
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",ASP,12,6
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",BPP,12,6
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",CPF,19,6
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",CPP,20,18
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",CSV,65,21
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",DEM,4011,468
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",GRE,20,9
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",IND,765,344
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",LPF,90,27
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",NPA,3933,745
to less affordable (+1.0+ ratio),"5 White, Not Hispanic",REP,8179,748
to less affordable (+1.0+ ratio),6 Other,DEM,253,48
to less affordable (+1.0+ ratio),6 Other,IND,30,15
to less affordable (+1.0+ ratio),6 Other,NPA,257,53
to less affordable (+1.0+ ratio),6 Other,REP,219,33
to less affordable (+1.0+ ratio),7 Multi-racial,DEM,54,10
to less affordable (+1.0+ ratio),7 Multi-racial,IND,10,8
to less affordable (+1.0+ ratio),7 Multi-racial,NPA,50,11
to less affordable (+1.0+ ratio),7 Multi-racial,REP,40,11
to less affordable (+1.0+ ratio),9 Unknown,AMF,12,12
to less affordable (+1.0+ ratio),9 Unknown,DEM,370,69
to less affordable (+1.0+ ratio),9 Unknown,IND,48,28
to less affordable (+1.0+ ratio),9 Unknown,NPA,391,72
to less affordable (+1.0+ ratio),9 Unknown,REP,355,73
to more affordable (-1.0+ ratio),1 American Indian / Alaskan,DEM,18,2
to more affordable (-1.0+ ratio),1 American Indian / Alaskan,NPA,11,3
to more affordable (-1.0+ ratio),1 American Indian / Alaskan,REP,17,3
to more affordable (-1.0+ ratio),2 Asian / Pacific Islander,DEM,142,26
to more affordable (-1.0+ ratio),2 Asian / Pacific Islander,IND,11,8
to more affordable (-1.0+ ratio),2 Asian / Pacific Islander,NPA,186,36
to more affordable (-1.0+ ratio),2 Asian / Pacific Islander,REP,132,20
to more affordable (-1.0+ ratio),"3 Black, Not Hispanic",AMF,51,45
to more affordable (-1.0+ ratio),"3 Black, Not Hispanic",CPP,23,21
to more affordable (-1.0+ ratio),"3 Black, Not Hispanic",CSV,15,7
to more affordable (-1.0+ ratio),"3 Black, Not Hispanic",DEM,2555,189
to more affordable (-1.0+ ratio),"3 Black, Not Hispanic",IND,149,79
to more affordable (-1.0+ ratio),"3 Black, Not Hispanic",NPA,970,262
to more affordable (-1.0+ ratio),"3 Black, Not Hispanic",REP,301,87
to more affordable (-1.0+ ratio),4 Hispanic,AMF,66,63
to more affordable (-1.0+ ratio),4 Hispanic,ASP,16,11
to more affordable (-1.0+ ratio),4 Hispanic,BPP,122,83
to more affordable (-1.0+ ratio),4 Hispanic,CPF,10,2
to more affordable (-1.0+ ratio),4 Hispanic,CPP,12,9
to more affordable (-1.0+ ratio),4 Hispanic,CSV,27,14
to more affordable (-1.0+ ratio),4 Hispanic,DEM,1968,321
to more affordable (-1.0+ ratio),4 Hispanic,IND,217,117
to more affordable (-1.0+ ratio),4 Hispanic,LPF,20,10
to more affordable (-1.0+ ratio),4 Hispanic,NPA,2393,476
to more affordable (-1.0+ ratio),4 Hispanic,REP,2555,530
to more affordable (-1.0+ ratio),"5 White, Not Hispanic",AMF,114,103
