src_income_band,dst_income_band,race_label,party_after,movers
1: under $35K,1: under $35K,"3 Black, Not Hispanic",DEM,10
1: under $35K,2: $35-55K,"3 Black, Not Hispanic",DEM,150
1: under $35K,2: $35-55K,"3 Black, Not Hispanic",NPA,45
1: under $35K,2: $35-55K,"3 Black, Not Hispanic",REP,10
1: under $35K,2: $35-55K,4 Hispanic,DEM,33
1: under $35K,2: $35-55K,4 Hispanic,NPA,25
1: under $35K,2: $35-55K,4 Hispanic,REP,28
1: under $35K,2: $35-55K,"5 White, Not Hispanic",DEM,16
1: under $35K,2: $35-55K,"5 White, Not Hispanic",REP,16
1: under $35K,2: $35-55K,9 Unknown,DEM,20
1: under $35K,2: $35-55K,9 Unknown,NPA,10
1: under $35K,3: $55-80K,"3 Black, Not Hispanic",DEM,103
1: under $35K,3: $55-80K,"3 Black, Not Hispanic",NPA,35
1: under $35K,3: $55-80K,4 Hispanic,DEM,15
1: under $35K,3: $55-80K,4 Hispanic,NPA,27
1: under $35K,3: $55-80K,4 Hispanic,REP,32
1: under $35K,3: $55-80K,"5 White, Not Hispanic",DEM,37
1: under $35K,3: $55-80K,"5 White, Not Hispanic",NPA,13
1: under $35K,3: $55-80K,"5 White, Not Hispanic",REP,17
1: under $35K,3: $55-80K,9 Unknown,DEM,24
1: under $35K,3: $55-80K,9 Unknown,NPA,13
1: under $35K,3: $55-80K,9 Unknown,REP,11
1: under $35K,4: $80-120K,"3 Black, Not Hispanic",DEM,46
1: under $35K,4: $80-120K,4 Hispanic,DEM,12
1: under $35K,4: $80-120K,4 Hispanic,NPA,12
1: under $35K,4: $80-120K,4 Hispanic,REP,16
1: under $35K,4: $80-120K,"5 White, Not Hispanic",DEM,24
1: under $35K,4: $80-120K,"5 White, Not Hispanic",NPA,15
1: under $35K,4: $80-120K,"5 White, Not Hispanic",REP,20
1: under $35K,4: $80-120K,9 Unknown,REP,10
1: under $35K,5: $120-200K,"5 White, Not Hispanic",DEM,17
1: under $35K,5: $120-200K,"5 White, Not Hispanic",REP,14
1: under $35K,6: $200K+,"5 White, Not Hispanic",DEM,11
1: under $35K,6: $200K+,"5 White, Not Hispanic",REP,10
2: $35-55K,1: under $35K,"3 Black, Not Hispanic",DEM,157
2: $35-55K,1: under $35K,"3 Black, Not Hispanic",NPA,38
2: $35-55K,1: under $35K,4 Hispanic,DEM,29
2: $35-55K,1: under $35K,4 Hispanic,NPA,25
2: $35-55K,1: under $35K,4 Hispanic,REP,33
2: $35-55K,1: under $35K,"5 White, Not Hispanic",DEM,11
2: $35-55K,1: under $35K,"5 White, Not Hispanic",REP,12
2: $35-55K,2: $35-55K,2 Asian / Pacific Islander,DEM,20
2: $35-55K,2: $35-55K,2 Asian / Pacific Islander,NPA,31
2: $35-55K,2: $35-55K,2 Asian / Pacific Islander,REP,26
2: $35-55K,2: $35-55K,"3 Black, Not Hispanic",DEM,1217
2: $35-55K,2: $35-55K,"3 Black, Not Hispanic",NPA,409
2: $35-55K,2: $35-55K,"3 Black, Not Hispanic",REP,109
2: $35-55K,2: $35-55K,4 Hispanic,DEM,867
2: $35-55K,2: $35-55K,4 Hispanic,NPA,979
2: $35-55K,2: $35-55K,4 Hispanic,REP,885
2: $35-55K,2: $35-55K,"5 White, Not Hispanic",DEM,496
2: $35-55K,2: $35-55K,"5 White, Not Hispanic",NPA,510
2: $35-55K,2: $35-55K,"5 White, Not Hispanic",REP,1000
2: $35-55K,2: $35-55K,6 Other,DEM,67
2: $35-55K,2: $35-55K,6 Other,NPA,62
2: $35-55K,2: $35-55K,6 Other,REP,27
2: $35-55K,2: $35-55K,7 Multi-racial,DEM,15
2: $35-55K,2: $35-55K,7 Multi-racial,NPA,14
2: $35-55K,2: $35-55K,7 Multi-racial,REP,13
2: $35-55K,2: $35-55K,9 Unknown,DEM,116
2: $35-55K,2: $35-55K,9 Unknown,NPA,88
2: $35-55K,2: $35-55K,9 Unknown,REP,55
2: $35-55K,3: $55-80K,2 Asian / Pacific Islander,DEM,53
2: $35-55K,3: $55-80K,2 Asian / Pacific Islander,NPA,38
2: $35-55K,3: $55-80K,2 Asian / Pacific Islander,REP,24
2: $35-55K,3: $55-80K,"3 Black, Not Hispanic",DEM,1140
2: $35-55K,3: $55-80K,"3 Black, Not Hispanic",NPA,444
2: $35-55K,3: $55-80K,"3 Black, Not Hispanic",REP,142
2: $35-55K,3: $55-80K,4 Hispanic,DEM,756
2: $35-55K,3: $55-80K,4 Hispanic,NPA,909
2: $35-55K,3: $55-80K,4 Hispanic,REP,871
2: $35-55K,3: $55-80K,"5 White, Not Hispanic",DEM,931
2: $35-55K,3: $55-80K,"5 White, Not Hispanic",NPA,980
2: $35-55K,3: $55-80K,"5 White, Not Hispanic",REP,2141
2: $35-55K,3: $55-80K,6 Other,DEM,69
2: $35-55K,3: $55-80K,6 Other,NPA,62
2: $35-55K,3: $55-80K,6 Other,REP,51
2: $35-55K,3: $55-80K,7 Multi-racial,DEM,22
2: $35-55K,3: $55-80K,7 Multi-racial,NPA,16
2: $35-55K,3: $55-80K,7 Multi-racial,REP,11
2: $35-55K,3: $55-80K,9 Unknown,DEM,142
2: $35-55K,3: $55-80K,9 Unknown,NPA,144
2: $35-55K,3: $55-80K,9 Unknown,REP,78
2: $35-55K,4: $80-120K,2 Asian / Pacific Islander,DEM,30
2: $35-55K,4: $80-120K,2 Asian / Pacific Islander,NPA,32
2: $35-55K,4: $80-120K,2 Asian / Pacific Islander,REP,27
2: $35-55K,4: $80-120K,"3 Black, Not Hispanic",DEM,591
2: $35-55K,4: $80-120K,"3 Black, Not Hispanic",NPA,217
2: $35-55K,4: $80-120K,"3 Black, Not Hispanic",REP,44
2: $35-55K,4: $80-120K,4 Hispanic,DEM,345
2: $35-55K,4: $80-120K,4 Hispanic,NPA,409
2: $35-55K,4: $80-120K,4 Hispanic,REP,434
2: $35-55K,4: $80-120K,"5 White, Not Hispanic",DEM,623
2: $35-55K,4: $80-120K,"5 White, Not Hispanic",NPA,604
2: $35-55K,4: $80-120K,"5 White, Not Hispanic",REP,1292
2: $35-55K,4: $80-120K,6 Other,DEM,35
2: $35-55K,4: $80-120K,6 Other,NPA,41
2: $35-55K,4: $80-120K,6 Other,REP,39
2: $35-55K,4: $80-120K,7 Multi-racial,DEM,13
2: $35-55K,4: $80-120K,9 Unknown,DEM,97
2: $35-55K,4: $80-120K,9 Unknown,NPA,77
2: $35-55K,4: $80-120K,9 Unknown,REP,58
2: $35-55K,5: $120-200K,"3 Black, Not Hispanic",DEM,100
2: $35-55K,5: $120-200K,"3 Black, Not Hispanic",NPA,44
2: $35-55K,5: $120-200K,4 Hispanic,DEM,76
2: $35-55K,5: $120-200K,4 Hispanic,NPA,94
2: $35-55K,5: $120-200K,4 Hispanic,REP,92
2: $35-55K,5: $120-200K,"5 White, Not Hispanic",DEM,156
2: $35-55K,5: $120-200K,"5 White, Not Hispanic",NPA,162
2: $35-55K,5: $120-200K,"5 White, Not Hispanic",REP,307
2: $35-55K,5: $120-200K,6 Other,DEM,12
2: $35-55K,5: $120-200K,9 Unknown,DEM,16
2: $35-55K,5: $120-200K,9 Unknown,NPA,14
2: $35-55K,6: $200K+,"3 Black, Not Hispanic",DEM,38
2: $35-55K,6: $200K+,"3 Black, Not Hispanic",NPA,16
2: $35-55K,6: $200K+,4 Hispanic,DEM,60
2: $35-55K,6: $200K+,4 Hispanic,NPA,59
2: $35-55K,6: $200K+,4 Hispanic,REP,74
2: $35-55K,6: $200K+,"5 White, Not Hispanic",DEM,65
2: $35-55K,6: $200K+,"5 White, Not Hispanic",NPA,76
2: $35-55K,6: $200K+,"5 White, Not Hispanic",REP,118
2: $35-55K,6: $200K+,6 Other,DEM,10
2: $35-55K,6: $200K+,6 Other,NPA,11
2: $35-55K,6: $200K+,9 Unknown,DEM,13
2: $35-55K,6: $200K+,9 Unknown,NPA,16
3: $55-80K,1: under $35K,"3 Black, Not Hispanic",DEM,74
3: $55-80K,1: under $35K,"3 Black, Not Hispanic",NPA,24
3: $55-80K,1: under $35K,4 Hispanic,DEM,16
3: $55-80K,1: under $35K,4 Hispanic,NPA,10
3: $55-80K,1: under $35K,4 Hispanic,REP,15
3: $55-80K,1: under $35K,"5 White, Not Hispanic",DEM,13
3: $55-80K,1: under $35K,"5 White, Not Hispanic",NPA,13
3: $55-80K,1: under $35K,"5 White, Not Hispanic",REP,23
3: $55-80K,2: $35-55K,1 American Indian / Alaskan,REP,10
3: $55-80K,2: $35-55K,2 Asian / Pacific Islander,DEM,26
3: $55-80K,2: $35-55K,2 Asian / Pacific Islander,NPA,32
3: $55-80K,2: $35-55K,2 Asian / Pacific Islander,REP,39
3: $55-80K,2: $35-55K,"3 Black, Not Hispanic",DEM,951
3: $55-80K,2: $35-55K,"3 Black, Not Hispanic",NPA,381
3: $55-80K,2: $35-55K,"3 Black, Not Hispanic",REP,103
3: $55-80K,2: $35-55K,4 Hispanic,DEM,737
3: $55-80K,2: $35-55K,4 Hispanic,NPA,815
3: $55-80K,2: $35-55K,4 Hispanic,REP,769
3: $55-80K,2: $35-55K,"5 White, Not Hispanic",DEM,901
3: $55-80K,2: $35-55K,"5 White, Not Hispanic",NPA,901
3: $55-80K,2: $35-55K,"5 White, Not Hispanic",REP,1945
3: $55-80K,2: $35-55K,6 Other,DEM,74
3: $55-80K,2: $35-55K,6 Other,NPA,65
3: $55-80K,2: $35-55K,6 Other,REP,44
3: $55-80K,2: $35-55K,7 Multi-racial,DEM,15
3: $55-80K,2: $35-55K,7 Multi-racial,NPA,14
3: $55-80K,2: $35-55K,9 Unknown,DEM,94
3: $55-80K,2: $35-55K,9 Unknown,NPA,91
3: $55-80K,2: $35-55K,9 Unknown,REP,62
3: $55-80K,3: $55-80K,1 American Indian / Alaskan,DEM,15
3: $55-80K,3: $55-80K,1 American Indian / Alaskan,REP,20
3: $55-80K,3: $55-80K,2 Asian / Pacific Islander,DEM,79
3: $55-80K,3: $55-80K,2 Asian / Pacific Islander,NPA,92
3: $55-80K,3: $55-80K,2 Asian / Pacific Islander,REP,85
3: $55-80K,3: $55-80K,"3 Black, Not Hispanic",DEM,1576
3: $55-80K,3: $55-80K,"3 Black, Not Hispanic",NPA,641
3: $55-80K,3: $55-80K,"3 Black, Not Hispanic",REP,208
3: $55-80K,3: $55-80K,4 Hispanic,DEM,1015
3: $55-80K,3: $55-80K,4 Hispanic,NPA,1203
3: $55-80K,3: $55-80K,4 Hispanic,REP,1165
3: $55-80K,3: $55-80K,"5 White, Not Hispanic",DEM,2393
3: $55-80K,3: $55-80K,"5 White, Not Hispanic",NPA,2701
3: $55-80K,3: $55-80K,"5 White, Not Hispanic",REP,6499
3: $55-80K,3: $55-80K,6 Other,DEM,127
3: $55-80K,3: $55-80K,6 Other,NPA,144
3: $55-80K,3: $55-80K,6 Other,REP,133
3: $55-80K,3: $55-80K,7 Multi-racial,DEM,42
