election_date,election_type,election_type_label,party,county,counted_votes
2016-01-19,OTH,5 Other / Special / Local,REP,GIL,33
2016-01-19,OTH,5 Other / Special / Local,REP,LEV,33
2016-01-26,OTH,5 Other / Special / Local,DEM,DAD,277
2016-01-26,OTH,5 Other / Special / Local,NPA,DAD,37
2016-01-26,OTH,5 Other / Special / Local,REP,DAD,59
2016-02-02,OTH,5 Other / Special / Local,REP,LEV,40
2016-02-09,OTH,5 Other / Special / Local,DEM,ALA,10
2016-02-09,OTH,5 Other / Special / Local,DEM,BRO,11
2016-02-09,OTH,5 Other / Special / Local,DEM,DAD,555
2016-02-09,OTH,5 Other / Special / Local,NPA,DAD,189
2016-02-09,OTH,5 Other / Special / Local,REP,DAD,305
2016-02-23,OTH,5 Other / Special / Local,DEM,LEV,14
2016-02-23,OTH,5 Other / Special / Local,REP,LEV,18
2016-03-08,OTH,5 Other / Special / Local,DEM,HAM,40
2016-03-08,OTH,5 Other / Special / Local,REP,HAM,49
2016-03-15,OTH,5 Other / Special / Local,DEM,LEV,50
2016-03-15,OTH,5 Other / Special / Local,NPA,LEV,20
2016-03-15,OTH,5 Other / Special / Local,REP,CIT,18
2016-03-15,OTH,5 Other / Special / Local,REP,LEV,116
2016-03-15,PPP,3 Presidential Preference Primary,AMF,BRE,14
2016-03-15,PPP,3 Presidential Preference Primary,AMF,BRO,26
2016-03-15,PPP,3 Presidential Preference Primary,AMF,CHA,10
2016-03-15,PPP,3 Presidential Preference Primary,AMF,DAD,33
2016-03-15,PPP,3 Presidential Preference Primary,AMF,DUV,29
2016-03-15,PPP,3 Presidential Preference Primary,AMF,HIL,19
2016-03-15,PPP,3 Presidential Preference Primary,AMF,LAK,11
2016-03-15,PPP,3 Presidential Preference Primary,AMF,LEE,17
2016-03-15,PPP,3 Presidential Preference Primary,AMF,MRN,11
2016-03-15,PPP,3 Presidential Preference Primary,AMF,ORA,32
2016-03-15,PPP,3 Presidential Preference Primary,AMF,OSC,18
2016-03-15,PPP,3 Presidential Preference Primary,AMF,PAL,31
2016-03-15,PPP,3 Presidential Preference Primary,AMF,PAS,25
2016-03-15,PPP,3 Presidential Preference Primary,AMF,PIN,31
2016-03-15,PPP,3 Presidential Preference Primary,AMF,POL,15
2016-03-15,PPP,3 Presidential Preference Primary,AMF,SAR,13
2016-03-15,PPP,3 Presidential Preference Primary,AMF,SEM,14
2016-03-15,PPP,3 Presidential Preference Primary,AMF,VOL,18
2016-03-15,PPP,3 Presidential Preference Primary,ASP,BRO,10
2016-03-15,PPP,3 Presidential Preference Primary,ASP,DUV,14
2016-03-15,PPP,3 Presidential Preference Primary,ASP,ORA,20
2016-03-15,PPP,3 Presidential Preference Primary,ASP,PAL,15
2016-03-15,PPP,3 Presidential Preference Primary,ASP,PAS,12
2016-03-15,PPP,3 Presidential Preference Primary,ASP,PIN,16
2016-03-15,PPP,3 Presidential Preference Primary,ASP,VOL,10
2016-03-15,PPP,3 Presidential Preference Primary,BPP,BRO,14
2016-03-15,PPP,3 Presidential Preference Primary,BPP,DUV,15
2016-03-15,PPP,3 Presidential Preference Primary,BPP,HIL,16
2016-03-15,PPP,3 Presidential Preference Primary,BPP,ORA,46
2016-03-15,PPP,3 Presidential Preference Primary,BPP,OSC,16
2016-03-15,PPP,3 Presidential Preference Primary,BPP,PIN,11
2016-03-15,PPP,3 Presidential Preference Primary,BPP,POL,22
2016-03-15,PPP,3 Presidential Preference Primary,BPP,SEM,11
2016-03-15,PPP,3 Presidential Preference Primary,CPF,BRE,25
2016-03-15,PPP,3 Presidential Preference Primary,CPF,BRO,35
2016-03-15,PPP,3 Presidential Preference Primary,CPF,CIT,11
2016-03-15,PPP,3 Presidential Preference Primary,CPF,CLL,13
2016-03-15,PPP,3 Presidential Preference Primary,CPF,DAD,20
2016-03-15,PPP,3 Presidential Preference Primary,CPF,DUV,46
2016-03-15,PPP,3 Presidential Preference Primary,CPF,HIL,41
2016-03-15,PPP,3 Presidential Preference Primary,CPF,LAK,12
2016-03-15,PPP,3 Presidential Preference Primary,CPF,LEE,21
2016-03-15,PPP,3 Presidential Preference Primary,CPF,LEO,12
2016-03-15,PPP,3 Presidential Preference Primary,CPF,MAN,10
2016-03-15,PPP,3 Presidential Preference Primary,CPF,MRN,17
2016-03-15,PPP,3 Presidential Preference Primary,CPF,MRT,10
2016-03-15,PPP,3 Presidential Preference Primary,CPF,OKA,11
2016-03-15,PPP,3 Presidential Preference Primary,CPF,ORA,40
2016-03-15,PPP,3 Presidential Preference Primary,CPF,OSC,12
2016-03-15,PPP,3 Presidential Preference Primary,CPF,PAL,44
2016-03-15,PPP,3 Presidential Preference Primary,CPF,PAS,22
2016-03-15,PPP,3 Presidential Preference Primary,CPF,PIN,28
2016-03-15,PPP,3 Presidential Preference Primary,CPF,POL,24
2016-03-15,PPP,3 Presidential Preference Primary,CPF,SEM,12
2016-03-15,PPP,3 Presidential Preference Primary,CPF,STL,19
2016-03-15,PPP,3 Presidential Preference Primary,CPF,VOL,22
2016-03-15,PPP,3 Presidential Preference Primary,CPP,DUV,24
2016-03-15,PPP,3 Presidential Preference Primary,CPP,HIL,18
2016-03-15,PPP,3 Presidential Preference Primary,CPP,ORA,14
2016-03-15,PPP,3 Presidential Preference Primary,CPP,PAL,19
2016-03-15,PPP,3 Presidential Preference Primary,CPP,PAS,11
2016-03-15,PPP,3 Presidential Preference Primary,CPP,PIN,14
2016-03-15,PPP,3 Presidential Preference Primary,CSV,ALA,20
2016-03-15,PPP,3 Presidential Preference Primary,CSV,BAY,19
2016-03-15,PPP,3 Presidential Preference Primary,CSV,BRE,42
2016-03-15,PPP,3 Presidential Preference Primary,CSV,BRO,48
2016-03-15,PPP,3 Presidential Preference Primary,CSV,CHA,12
2016-03-15,PPP,3 Presidential Preference Primary,CSV,CIT,29
2016-03-15,PPP,3 Presidential Preference Primary,CSV,CLA,27
2016-03-15,PPP,3 Presidential Preference Primary,CSV,CLL,45
2016-03-15,PPP,3 Presidential Preference Primary,CSV,DAD,41
2016-03-15,PPP,3 Presidential Preference Primary,CSV,DUV,81
2016-03-15,PPP,3 Presidential Preference Primary,CSV,ESC,23
2016-03-15,PPP,3 Presidential Preference Primary,CSV,FLA,17
2016-03-15,PPP,3 Presidential Preference Primary,CSV,HER,20
