age_band,party,method_bucket,counted_votes
18-24,AMF,early,292
18-24,AMF,mail,93
18-24,AMF,polls,304
18-24,ASP,early,148
18-24,ASP,mail,34
18-24,ASP,polls,149
18-24,BPP,early,261
18-24,BPP,mail,72
18-24,BPP,polls,332
18-24,CPF,early,509
18-24,CPF,mail,112
18-24,CPF,polls,652
18-24,CPP,early,161
18-24,CPP,mail,37
18-24,CPP,polls,156
18-24,CSV,early,948
18-24,CSV,mail,194
18-24,CSV,polls,946
18-24,DEM,early,123938
18-24,DEM,mail,77943
18-24,DEM,polls,88036
18-24,ECO,early,155
18-24,ECO,mail,36
18-24,ECO,polls,125
18-24,FFP,early,37
18-24,FFP,mail,25
18-24,FFP,polls,32
18-24,GRE,early,511
18-24,GRE,mail,245
18-24,GRE,polls,509
18-24,IND,early,12969
18-24,IND,mail,5643
18-24,IND,polls,10211
18-24,LPF,early,897
18-24,LPF,mail,335
18-24,LPF,polls,826
18-24,NPA,early,97539
18-24,NPA,mail,46348
18-24,NPA,polls,81445
18-24,PSL,early,241
18-24,PSL,mail,121
18-24,PSL,polls,230
18-24,REP,early,146531
18-24,REP,mail,49308
18-24,REP,polls,120356
25-34,AMF,early,1346
25-34,AMF,mail,563
25-34,AMF,polls,1774
25-34,ASP,early,649
25-34,ASP,mail,302
25-34,ASP,polls,864
25-34,BPP,early,1057
25-34,BPP,mail,584
25-34,BPP,polls,1586
25-34,CPF,early,1454
25-34,CPF,mail,591
25-34,CPF,polls,2055
25-34,CPP,early,518
25-34,CPP,mail,236
25-34,CPP,polls,714
25-34,CSV,early,3204
25-34,CSV,mail,1165
25-34,CSV,polls,4303
25-34,DEM,early,726121
25-34,DEM,mail,662734
25-34,DEM,polls,722345
25-34,ECO,early,375
25-34,ECO,mail,262
25-34,ECO,polls,529
25-34,FFP,early,217
25-34,FFP,mail,124
25-34,FFP,polls,234
25-34,GRE,early,1849
25-34,GRE,mail,1593
25-34,GRE,polls,2413
25-34,IND,early,45173
25-34,IND,mail,30615
25-34,IND,polls,49832
25-34,JEF,early,26
25-34,JEF,mail,25
25-34,JEF,polls,35
25-34,LPF,early,6955
25-34,LPF,mail,4168
25-34,LPF,polls,9833
25-34,MGT,early,12
25-34,MGT,polls,11
25-34,NPA,early,432494
25-34,NPA,mail,318417
25-34,NPA,polls,486041
25-34,PSL,early,1125
25-34,PSL,mail,979
25-34,PSL,polls,1269
25-34,REP,early,647609
25-34,REP,mail,339285
25-34,REP,polls,729883
35-44,AMF,early,1295
35-44,AMF,mail,683
35-44,AMF,polls,1910
35-44,ASP,early,587
35-44,ASP,mail,299
35-44,ASP,polls,844
35-44,BPP,early,1099
35-44,BPP,mail,695
35-44,BPP,polls,1671
35-44,CPF,early,1849
35-44,CPF,mail,876
35-44,CPF,polls,2725
35-44,CPP,early,636
35-44,CPP,mail,345
35-44,CPP,polls,910
35-44,CSV,early,3686
35-44,CSV,mail,1573
35-44,CSV,polls,5103
35-44,DEM,early,917601
35-44,DEM,mail,856880
35-44,DEM,polls,1015124
35-44,ECO,early,315
35-44,ECO,mail,310
35-44,ECO,polls,477
35-44,FFP,early,254
35-44,FFP,mail,268
35-44,FFP,polls,342
35-44,GRE,early,1818
35-44,GRE,mail,2076
35-44,GRE,polls,2557
35-44,IND,early,45495
35-44,IND,mail,35507
35-44,IND,polls,55061
35-44,JEF,early,10
35-44,JEF,polls,19
35-44,LPF,early,10530
35-44,LPF,mail,8242
35-44,LPF,polls,16152
35-44,MGT,polls,14
35-44,NPA,early,576273
35-44,NPA,mail,483550
35-44,NPA,polls,696995
35-44,PSL,early,565
35-44,PSL,mail,544
35-44,PSL,polls,769
35-44,REP,early,932174
35-44,REP,mail,537829
35-44,REP,polls,1219991
45-54,AMF,early,1464
45-54,AMF,mail,894
45-54,AMF,polls,1809
45-54,ASP,early,502
45-54,ASP,mail,348
45-54,ASP,polls,731
45-54,BPP,early,1378
45-54,BPP,mail,884
45-54,BPP,polls,1664
45-54,CPF,early,1809
45-54,CPF,mail,927
45-54,CPF,polls,2365
45-54,CPP,early,891
45-54,CPP,mail,487
45-54,CPP,polls,1012
45-54,CSV,early,3835
45-54,CSV,mail,1908
45-54,CSV,polls,4468
45-54,DEM,early,1062545
45-54,DEM,mail,911126
45-54,DEM,polls,1074774
45-54,ECO,early,331
45-54,ECO,mail,273
45-54,ECO,polls,351
45-54,FFP,early,241
45-54,FFP,mail,325
45-54,FFP,polls,306
45-54,GRE,early,1287
45-54,GRE,mail,1548
45-54,GRE,polls,1842
45-54,IND,early,53506
45-54,IND,mail,43691
45-54,IND,polls,55923
45-54,JEF,early,10
45-54,LPF,early,8624
45-54,LPF,mail,6808
45-54,LPF,polls,11890
45-54,MGT,mail,12
45-54,NPA,early,681148
45-54,NPA,mail,570241
45-54,NPA,polls,712975
45-54,PSL,early,197
45-54,PSL,mail,190
45-54,PSL,polls,267
45-54,REP,early,1251906
45-54,REP,mail,740600
45-54,REP,polls,1549651
55-64,AMF,early,1623
55-64,AMF,mail,1285
55-64,AMF,polls,1771
55-64,ASP,early,648
55-64,ASP,mail,509
55-64,ASP,polls,706
55-64,BPP,early,960
55-64,BPP,mail,724
55-64,BPP,polls,978
55-64,CPF,early,2174
55-64,CPF,mail,1354
55-64,CPF,polls,2485
55-64,CPP,early,944
55-64,CPP,mail,681
55-64,CPP,polls,998
55-64,CSV,early,4574
55-64,CSV,mail,2990
55-64,CSV,polls,4599
55-64,DEM,early,1428347
55-64,DEM,mail,1421856
55-64,DEM,polls,1299062
55-64,ECO,early,320
55-64,ECO,mail,357
55-64,ECO,polls,417
55-64,FFP,early,216
55-64,FFP,mail,220
55-64,FFP,polls,213
55-64,GRE,early,1105
55-64,GRE,mail,1465
55-64,GRE,polls,1284
55-64,IND,early,70326
55-64,IND,mail,70922
55-64,IND,polls,63406
55-64,JEF,mail,16
55-64,JEF,polls,19
55-64,LPF,early,6298
55-64,LPF,mail,5562
55-64,LPF,polls,7686
55-64,NPA,early,765485
55-64,NPA,mail,729296
55-64,NPA,polls,686177
55-64,PSL,early,99
55-64,PSL,mail,70
