county,method_bucket,counted_votes
ALA,early,195876
ALA,mail,227016
ALA,polls,178646
BAK,early,32628
BAK,mail,10619
BAK,polls,24124
BAY,early,201996
BAY,mail,107924
BAY,polls,113998
BRA,early,20408
BRA,mail,15936
BRA,polls,26287
BRE,early,493241
BRE,mail,555422
BRE,polls,495045
BRO,early,1130756
BRO,mail,1521668
BRO,polls,786512
CAL,early,11503
CAL,mail,8133
CAL,polls,11007
CHA,early,159066
CHA,mail,201749
CHA,polls,101859
CIT,early,135606
CIT,mail,177099
CIT,polls,135096
CLA,early,208306
CLA,mail,122751
CLA,polls,157504
CLL,early,270602
CLL,mail,371433
CLL,polls,197698
CLM,early,61575
CLM,mail,33917
CLM,polls,40548
DAD,early,1566461
DAD,mail,1761282
DAD,polls,1025620
DES,early,19405
DES,mail,10453
DES,polls,16466
DIX,early,10806
DIX,mail,10569
DIX,polls,15852
DUV,early,1023723
DUV,mail,534830
DUV,polls,805344
ESC,early,258804
ESC,mail,208775
ESC,polls,266527
FLA,early,139476
FLA,mail,148754
FLA,polls,98525
FRA,early,8813
FRA,mail,10339
FRA,polls,10375
GAD,early,35828
GAD,mail,29357
GAD,polls,42268
GIL,early,13630
GIL,mail,10895
GIL,polls,21805
GLA,early,5128
GLA,mail,6437
GLA,polls,11380
GUL,early,18861
GUL,mail,8299
GUL,polls,10731
HAM,early,8600
HAM,mail,7294
HAM,polls,11916
HAR,early,14747
HAR,mail,4829
HAR,polls,13805
HEN,early,24637
HEN,mail,12257
HEN,polls,16969
HER,early,128459
HER,mail,186151
HER,polls,144077
HIG,early,72008
HIG,mail,66064
HIG,polls,74464
HIL,early,827868
HIL,mail,1130023
HIL,polls,619107
HOL,early,13358
HOL,mail,9674
HOL,polls,20469
IND,early,127731
IND,mail,182710
IND,polls,120306
JAC,early,39790
JAC,mail,23399
JAC,polls,37779
JEF,early,13590
JEF,mail,9975
JEF,polls,17252
LAF,early,6906
LAF,mail,2773
LAF,polls,8360
LAK,early,320329
LAK,mail,253460
LAK,polls,341876
LEE,early,444255
LEE,mail,812415
LEE,polls,225059
LEO,early,217905
LEO,mail,240290
LEO,polls,200452
LEV,early,28652
LEV,mail,32785
LEV,polls,48800
LIB,early,7001
LIB,mail,2628
LIB,polls,6929
MAD,early,20600
MAD,mail,7210
MAD,polls,14134
MAN,early,242715
MAN,mail,437147
MAN,polls,264414
MON,early,48621
MON,mail,77883
MON,polls,56538
MRN,early,264278
MRN,mail,300259
MRN,polls,342073
MRT,early,129848
MRT,mail,155514
MRT,polls,115297
NAS,early,117956
NAS,mail,78774
NAS,polls,74887
OKA,early,199660
OKA,mail,134123
OKA,polls,189858
OKE,early,24514
OKE,mail,15533
OKE,polls,23794
ORA,early,863135
ORA,mail,867169
ORA,polls,677639
OSC,early,218252
OSC,mail,260066
OSC,polls,142192
PAL,early,826373
PAL,mail,1400388
PAL,polls,934368
PAS,early,352607
PAS,mail,440579
PAS,polls,383957
PIN,early,325654
PIN,mail,1451908
PIN,polls,533726
POL,early,357240
POL,mail,540935
POL,polls,511726
PUT,early,64617
PUT,mail,34173
PUT,polls,72309
SAN,early,201727
SAN,mail,96211
SAN,polls,190196
SAR,early,316236
SAR,mail,601049
SAR,polls,322504
SEM,early,360411
SEM,mail,345298
SEM,polls,277079
STJ,early,339251
STJ,mail,196622
STJ,polls,234075
STL,early,260653
STL,mail,285696
STL,polls,192171
SUM,early,197746
SUM,mail,204166
SUM,polls,94899
SUW,early,34106
SUW,mail,26115
SUW,polls,37102
TAY,early,17452
TAY,mail,11919
TAY,polls,16431
UNI,early,11849
UNI,mail,4298
UNI,polls,11234
VOL,early,390337
VOL,mail,556892
VOL,polls,367493
WAK,early,35383
WAK,mail,19750
WAK,polls,31496
WAL,early,77892
WAL,mail,38369
WAL,polls,78901
WAS,early,20983
WAS,mail,14969
WAS,polls,22879
