election_year,party,method_bucket,counted_votes
2016,AMF,early,1442
2016,AMF,mail,871
2016,AMF,polls,1874
2016,ASP,early,584
2016,ASP,mail,306
2016,ASP,polls,808
2016,BPP,early,1152
2016,BPP,mail,555
2016,BPP,polls,1259
2016,CPF,early,1601
2016,CPF,mail,954
2016,CPF,polls,2249
2016,CPP,early,757
2016,CPP,mail,411
2016,CPP,polls,956
2016,CSV,early,3445
2016,CSV,mail,2345
2016,CSV,polls,4621
2016,DEM,early,1694370
2016,DEM,mail,1319728
2016,DEM,polls,1674844
2016,ECO,early,362
2016,ECO,mail,224
2016,ECO,polls,463
2016,FFP,early,246
2016,FFP,mail,171
2016,FFP,polls,279
2016,GRE,early,1482
2016,GRE,mail,1200
2016,GRE,polls,2033
2016,IND,early,59334
2016,IND,mail,51031
2016,IND,polls,66394
2016,JEF,early,14
2016,JEF,mail,10
2016,JEF,polls,14
2016,LPF,early,7428
2016,LPF,mail,5159
2016,LPF,polls,11121
2016,MGT,mail,15
2016,MGT,polls,10
2016,NPA,early,713653
2016,NPA,mail,547514
2016,NPA,polls,739676
2016,PSL,early,351
2016,PSL,mail,188
2016,PSL,polls,439
2016,REP,early,1856989
2016,REP,mail,1715656
2016,REP,polls,2461778
2017,AMF,mail,71
2017,AMF,polls,30
2017,ASP,mail,38
2017,ASP,polls,22
2017,BPP,mail,16
2017,BPP,polls,16
2017,CPF,mail,76
2017,CPF,polls,59
2017,CPP,mail,18
2017,CPP,polls,26
2017,CSV,mail,184
2017,CSV,polls,75
2017,DEM,early,13917
2017,DEM,mail,125660
2017,DEM,polls,77089
2017,ECO,mail,30
2017,FFP,mail,23
2017,FFP,polls,17
2017,GRE,early,21
2017,GRE,mail,125
2017,GRE,polls,88
2017,IND,early,305
2017,IND,mail,4427
2017,IND,polls,2025
2017,LPF,early,33
2017,LPF,mail,456
2017,LPF,polls,364
2017,NPA,early,4134
2017,NPA,mail,53077
2017,NPA,polls,25615
2017,PSL,mail,19
2017,PSL,polls,32
2017,REP,early,14435
2017,REP,mail,152618
2017,REP,polls,82619
2018,AMF,early,790
2018,AMF,mail,720
2018,AMF,polls,1564
2018,ASP,early,348
2018,ASP,mail,313
2018,ASP,polls,649
2018,BPP,early,463
2018,BPP,mail,486
2018,BPP,polls,1134
2018,CPF,early,956
2018,CPF,mail,845
2018,CPF,polls,1872
2018,CPP,early,489
2018,CPP,mail,399
2018,CPP,polls,834
2018,CSV,early,2019
2018,CSV,mail,2016
2018,CSV,polls,3874
2018,DEM,early,1231618
2018,DEM,mail,1213151
2018,DEM,polls,1423699
2018,ECO,early,224
2018,ECO,mail,212
2018,ECO,polls,418
2018,FFP,early,172
2018,FFP,mail,158
2018,FFP,polls,273
2018,GRE,early,1081
2018,GRE,mail,1060
2018,GRE,polls,1778
2018,IND,early,42560
2018,IND,mail,48895
2018,IND,polls,60988
2018,JEF,mail,14
2018,JEF,polls,14
2018,LPF,early,4612
2018,LPF,mail,4470
2018,LPF,polls,9372
2018,NPA,early,464247
2018,NPA,mail,530432
2018,NPA,polls,694424
2018,PSL,early,313
2018,PSL,mail,190
2018,PSL,polls,478
2018,REP,early,1207599
2018,REP,mail,1404887
2018,REP,polls,1836893
2019,AMF,early,18
2019,AMF,mail,91
2019,AMF,polls,47
2019,ASP,early,14
2019,ASP,mail,46
2019,ASP,polls,34
2019,BPP,mail,76
2019,BPP,polls,26
2019,CPF,early,21
2019,CPF,mail,133
2019,CPF,polls,72
2019,CPP,mail,47
2019,CPP,polls,31
2019,CSV,early,51
2019,CSV,mail,290
2019,CSV,polls,137
2019,DEM,early,49963
2019,DEM,mail,163314
2019,DEM,polls,110894
2019,ECO,mail,29
2019,ECO,polls,11
2019,FFP,mail,17
2019,FFP,polls,26
2019,GRE,early,42
2019,GRE,mail,168
2019,GRE,polls,112
2019,IND,early,997
2019,IND,mail,6690
2019,IND,polls,3026
2019,LPF,early,155
2019,LPF,mail,679
2019,LPF,polls,497
2019,NPA,early,11816
2019,NPA,mail,75753
2019,NPA,polls,35225
2019,PSL,early,10
2019,PSL,mail,34
2019,PSL,polls,20
2019,REP,early,49359
2019,REP,mail,195778
2019,REP,polls,139875
2020,AMF,early,2103
2020,AMF,mail,2072
2020,AMF,polls,1766
2020,ASP,early,849
2020,ASP,mail,916
2020,ASP,polls,701
2020,BPP,early,1387
2020,BPP,mail,1695
2020,BPP,polls,1329
2020,CPF,early,2320
2020,CPF,mail,2064
2020,CPF,polls,2112
2020,CPP,early,974
2020,CPP,mail,1156
2020,CPP,polls,829
2020,CSV,early,5128
2020,CSV,mail,4868
2020,CSV,polls,4125
2020,DEM,early,1744532
2020,DEM,mail,3212870
2020,DEM,polls,1208559
2020,ECO,early,464
2020,ECO,mail,769
2020,ECO,polls,411
2020,FFP,early,308
2020,FFP,mail,468
2020,FFP,polls,230
2020,GRE,early,1918
2020,GRE,mail,3305
2020,GRE,polls,1701
2020,IND,early,83350
2020,IND,mail,126781
2020,IND,polls,53500
2020,JEF,early,19
2020,JEF,mail,28
2020,JEF,polls,17
2020,LPF,early,10025
2020,LPF,mail,10248
2020,LPF,polls,9111
2020,MGT,mail,18
2020,NPA,early,892522
2020,NPA,mail,1350079
2020,NPA,polls,571154
2020,PSL,early,653
2020,PSL,mail,789
2020,PSL,polls,523
2020,REP,early,2359715
2020,REP,mail,2528989
2020,REP,polls,1738327
2021,AMF,early,16
2021,AMF,mail,74
2021,AMF,polls,40
2021,ASP,mail,33
2021,ASP,polls,18
2021,BPP,mail,39
2021,BPP,polls,11
2021,CPF,mail,107
2021,CPF,polls,66
2021,CPP,mail,52
2021,CPP,polls,15
2021,CSV,early,24
2021,CSV,mail,215
2021,CSV,polls,99
2021,DEM,early,27223
2021,DEM,mail,226661
2021,DEM,polls,78650
2021,ECO,mail,37
2021,ECO,polls,18
2021,FFP,mail,39
2021,FFP,polls,10
2021,GRE,early,21
2021,GRE,mail,177
2021,GRE,polls,67
2021,IND,early,627
2021,IND,mail,7407
2021,IND,polls,2626
2021,LPF,early,85
2021,LPF,mail,694
2021,LPF,polls,396
2021,NPA,early,7415
2021,NPA,mail,78467
2021,NPA,polls,29237
2021,PSL,mail,45
2021,PSL,polls,19
2021,REP,early,29733
2021,REP,mail,164181
2021,REP,polls,109053
2022,AMF,early,678
2022,AMF,mail,829
2022,AMF,polls,1371
2022,ASP,early,242
2022,ASP,mail,343
2022,ASP,polls,467
2022,BPP,early,260
2022,BPP,mail,455
2022,BPP,polls,584
2022,CPF,early,842
2022,CPF,mail,867
2022,CPF,polls,1779
2022,CPP,early,308
2022,CPP,mail,475
2022,CPP,polls,576
2022,CSV,early,1905
2022,CSV,mail,2232
2022,CSV,polls,3537
