era,party,method_bucket,counted_votes
post 2020-11,AMF,early,5272
post 2020-11,AMF,mail,3430
post 2020-11,AMF,polls,5193
post 2020-11,ASP,early,2049
post 2020-11,ASP,mail,1507
post 2020-11,ASP,polls,2192
post 2020-11,BPP,early,3719
post 2020-11,BPP,mail,2535
post 2020-11,BPP,polls,4177
post 2020-11,CPF,early,7104
post 2020-11,CPF,mail,3891
post 2020-11,CPF,polls,7682
post 2020-11,CPP,early,2742
post 2020-11,CPP,mail,2022
post 2020-11,CPP,polls,2633
post 2020-11,CSV,early,16869
post 2020-11,CSV,mail,9358
post 2020-11,CSV,polls,15322
post 2020-11,DEM,early,3933066
post 2020-11,DEM,mail,6050973
post 2020-11,DEM,polls,2908228
post 2020-11,ECO,early,1434
post 2020-11,ECO,mail,1390
post 2020-11,ECO,polls,1460
post 2020-11,FFP,early,798
post 2020-11,FFP,mail,970
post 2020-11,FFP,polls,708
post 2020-11,GRE,early,4836
post 2020-11,GRE,mail,6145
post 2020-11,GRE,polls,5324
post 2020-11,IND,early,234712
post 2020-11,IND,mail,263294
post 2020-11,IND,polls,182554
post 2020-11,JEF,early,51
post 2020-11,JEF,mail,54
post 2020-11,JEF,polls,55
post 2020-11,LPF,early,26981
post 2020-11,LPF,mail,20785
post 2020-11,LPF,polls,29828
post 2020-11,MGT,early,23
post 2020-11,MGT,mail,19
post 2020-11,MGT,polls,27
post 2020-11,NPA,early,2505090
post 2020-11,NPA,mail,2803260
post 2020-11,NPA,polls,2043269
post 2020-11,PSL,early,1399
post 2020-11,PSL,mail,1370
post 2020-11,PSL,polls,1426
post 2020-11,REP,early,6805682
post 2020-11,REP,mail,5409288
post 2020-11,REP,polls,5707063
post 2020-11,WPF,polls,10
pre 2020-11,AMF,early,2385
pre 2020-11,AMF,mail,2289
pre 2020-11,AMF,polls,3855
pre 2020-11,ASP,early,1022
pre 2020-11,ASP,mail,965
pre 2020-11,ASP,polls,1697
pre 2020-11,BPP,early,1693
pre 2020-11,BPP,mail,1523
pre 2020-11,BPP,polls,2619
pre 2020-11,CPF,early,2766
pre 2020-11,CPF,mail,2571
pre 2020-11,CPF,polls,4704
pre 2020-11,CPP,early,1342
pre 2020-11,CPP,mail,1198
pre 2020-11,CPP,polls,2044
pre 2020-11,CSV,early,5865
pre 2020-11,CSV,mail,6277
pre 2020-11,CSV,polls,9638
pre 2020-11,DEM,early,3541939
pre 2020-11,DEM,mail,4272405
pre 2020-11,DEM,polls,4072416
pre 2020-11,ECO,early,626
pre 2020-11,ECO,mail,715
pre 2020-11,ECO,polls,1000
pre 2020-11,FFP,early,488
pre 2020-11,FFP,mail,558
pre 2020-11,FFP,polls,708
pre 2020-11,GRE,early,3029
pre 2020-11,GRE,mail,3582
pre 2020-11,GRE,polls,4603
pre 2020-11,IND,early,112013
pre 2020-11,IND,mail,152364
pre 2020-11,IND,polls,149263
pre 2020-11,JEF,early,24
pre 2020-11,JEF,mail,41
pre 2020-11,JEF,polls,30
pre 2020-11,LPF,early,12934
pre 2020-11,LPF,mail,13454
pre 2020-11,LPF,polls,23304
pre 2020-11,MGT,mail,28
pre 2020-11,MGT,polls,15
pre 2020-11,NPA,early,1256260
pre 2020-11,NPA,mail,1574036
pre 2020-11,NPA,polls,1615485
pre 2020-11,PSL,early,883
pre 2020-11,PSL,mail,688
pre 2020-11,PSL,polls,1269
pre 2020-11,REP,early,3589372
pre 2020-11,REP,mail,4694986
pre 2020-11,REP,polls,5389612
