consistency_bucket,party,age_band,race_label,voters
0 (none),BPP,25-34,4 Hispanic,20
0 (none),BPP,35-44,4 Hispanic,13
0 (none),BPP,45-54,4 Hispanic,14
0 (none),CPF,45-54,"5 White, Not Hispanic",12
0 (none),CSV,18-24,"5 White, Not Hispanic",13
0 (none),CSV,25-34,4 Hispanic,13
0 (none),CSV,25-34,"5 White, Not Hispanic",20
0 (none),CSV,35-44,"3 Black, Not Hispanic",16
0 (none),CSV,35-44,"5 White, Not Hispanic",21
0 (none),CSV,45-54,"5 White, Not Hispanic",13
0 (none),CSV,55-64,"5 White, Not Hispanic",17
0 (none),CSV,65-74,"5 White, Not Hispanic",10
0 (none),DEM,18-24,1 American Indian / Alaskan,10
0 (none),DEM,18-24,2 Asian / Pacific Islander,81
0 (none),DEM,18-24,"3 Black, Not Hispanic",883
0 (none),DEM,18-24,4 Hispanic,417
0 (none),DEM,18-24,"5 White, Not Hispanic",839
0 (none),DEM,18-24,6 Other,67
0 (none),DEM,18-24,7 Multi-racial,26
0 (none),DEM,18-24,9 Unknown,125
0 (none),DEM,25-34,1 American Indian / Alaskan,17
0 (none),DEM,25-34,2 Asian / Pacific Islander,146
0 (none),DEM,25-34,"3 Black, Not Hispanic",2074
0 (none),DEM,25-34,4 Hispanic,1089
0 (none),DEM,25-34,"5 White, Not Hispanic",1965
0 (none),DEM,25-34,6 Other,131
0 (none),DEM,25-34,7 Multi-racial,128
0 (none),DEM,25-34,9 Unknown,282
0 (none),DEM,35-44,1 American Indian / Alaskan,11
0 (none),DEM,35-44,2 Asian / Pacific Islander,116
0 (none),DEM,35-44,"3 Black, Not Hispanic",1466
0 (none),DEM,35-44,4 Hispanic,738
0 (none),DEM,35-44,"5 White, Not Hispanic",1425
0 (none),DEM,35-44,6 Other,87
0 (none),DEM,35-44,7 Multi-racial,49
0 (none),DEM,35-44,9 Unknown,158
0 (none),DEM,45-54,2 Asian / Pacific Islander,65
0 (none),DEM,45-54,"3 Black, Not Hispanic",848
0 (none),DEM,45-54,4 Hispanic,472
0 (none),DEM,45-54,"5 White, Not Hispanic",680
0 (none),DEM,45-54,6 Other,52
0 (none),DEM,45-54,7 Multi-racial,13
0 (none),DEM,45-54,9 Unknown,74
0 (none),DEM,55-64,1 American Indian / Alaskan,10
0 (none),DEM,55-64,2 Asian / Pacific Islander,44
0 (none),DEM,55-64,"3 Black, Not Hispanic",769
0 (none),DEM,55-64,4 Hispanic,429
0 (none),DEM,55-64,"5 White, Not Hispanic",731
0 (none),DEM,55-64,6 Other,50
0 (none),DEM,55-64,7 Multi-racial,10
0 (none),DEM,55-64,9 Unknown,68
0 (none),DEM,65-74,1 American Indian / Alaskan,12
0 (none),DEM,65-74,2 Asian / Pacific Islander,39
0 (none),DEM,65-74,"3 Black, Not Hispanic",685
0 (none),DEM,65-74,4 Hispanic,428
0 (none),DEM,65-74,"5 White, Not Hispanic",748
0 (none),DEM,65-74,6 Other,37
0 (none),DEM,65-74,7 Multi-racial,12
0 (none),DEM,65-74,9 Unknown,78
0 (none),DEM,75+,1 American Indian / Alaskan,10
0 (none),DEM,75+,2 Asian / Pacific Islander,51
0 (none),DEM,75+,"3 Black, Not Hispanic",544
0 (none),DEM,75+,4 Hispanic,590
0 (none),DEM,75+,"5 White, Not Hispanic",1106
0 (none),DEM,75+,6 Other,42
0 (none),DEM,75+,9 Unknown,74
0 (none),DEM,unknown,"3 Black, Not Hispanic",34
0 (none),DEM,unknown,4 Hispanic,15
0 (none),DEM,unknown,"5 White, Not Hispanic",27
0 (none),GRE,25-34,"5 White, Not Hispanic",14
0 (none),IND,18-24,"3 Black, Not Hispanic",29
0 (none),IND,18-24,4 Hispanic,40
0 (none),IND,18-24,"5 White, Not Hispanic",158
0 (none),IND,18-24,6 Other,11
0 (none),IND,18-24,9 Unknown,14
0 (none),IND,25-34,"3 Black, Not Hispanic",73
0 (none),IND,25-34,4 Hispanic,63
0 (none),IND,25-34,"5 White, Not Hispanic",227
0 (none),IND,25-34,9 Unknown,14
0 (none),IND,35-44,"3 Black, Not Hispanic",45
0 (none),IND,35-44,4 Hispanic,37
0 (none),IND,35-44,"5 White, Not Hispanic",124
0 (none),IND,35-44,9 Unknown,12
0 (none),IND,45-54,"3 Black, Not Hispanic",21
0 (none),IND,45-54,4 Hispanic,17
0 (none),IND,45-54,"5 White, Not Hispanic",74
0 (none),IND,55-64,"3 Black, Not Hispanic",15
0 (none),IND,55-64,4 Hispanic,17
0 (none),IND,55-64,"5 White, Not Hispanic",73
0 (none),IND,65-74,4 Hispanic,11
0 (none),IND,65-74,"5 White, Not Hispanic",65
0 (none),IND,75+,"5 White, Not Hispanic",54
0 (none),LPF,18-24,"5 White, Not Hispanic",10
0 (none),LPF,25-34,"5 White, Not Hispanic",57
0 (none),LPF,35-44,"5 White, Not Hispanic",49
0 (none),LPF,45-54,"5 White, Not Hispanic",17
0 (none),NPA,18-24,2 Asian / Pacific Islander,79
0 (none),NPA,18-24,"3 Black, Not Hispanic",365
0 (none),NPA,18-24,4 Hispanic,493
0 (none),NPA,18-24,"5 White, Not Hispanic",1101
0 (none),NPA,18-24,6 Other,98
0 (none),NPA,18-24,7 Multi-racial,48
0 (none),NPA,18-24,9 Unknown,254
0 (none),NPA,25-34,1 American Indian / Alaskan,12
0 (none),NPA,25-34,2 Asian / Pacific Islander,118
0 (none),NPA,25-34,"3 Black, Not Hispanic",765
0 (none),NPA,25-34,4 Hispanic,952
0 (none),NPA,25-34,"5 White, Not Hispanic",1923
