county_code,party_affiliation,voters,new_in_april,new_in_may,missing_after_march,missing_after_april,zip_changed_mar_apr,zip_changed_apr_may,county_changed_mar_apr,county_changed_apr_may,party_changed_mar_apr,party_changed_apr_may,status_changed_mar_apr,status_changed_apr_may
ALA,AMF,202,9,9,2,0,10,3,5,2,21,9,4,6
ALA,ASP,104,0,2,0,0,2,1,0,1,4,0,2,2
ALA,BPP,142,1,3,0,0,2,0,0,0,1,0,1,0
ALA,CPF,182,0,0,0,1,3,1,2,0,2,1,1,0
ALA,CPP,98,2,0,0,0,1,1,1,0,3,2,0,1
ALA,CSV,385,4,2,0,0,1,2,0,1,2,4,5,0
ALA,DEM,90492,200,144,110,93,434,303,194,121,149,93,380,173
ALA,ECO,78,0,1,0,0,0,0,0,0,2,0,0,1
ALA,FFP,36,0,0,0,0,0,2,0,0,0,0,1,1
ALA,GRE,255,2,1,0,1,1,1,0,1,1,2,1,4
ALA,IND,4005,16,11,4,4,46,26,27,16,65,49,20,14
ALA,JEF,2,0,0,0,0,0,0,0,0,0,0,0,0
ALA,LPF,786,1,2,0,1,5,9,2,6,5,7,4,4
ALA,MGT,1,0,0,0,0,0,0,0,0,0,0,0,0
ALA,NPA,50813,161,130,41,30,259,181,143,86,167,137,245,102
ALA,PSL,80,2,1,0,0,2,2,2,1,2,2,0,0
ALA,REP,56148,121,114,71,57,282,252,151,140,121,121,126,102
BAK,AMF,28,2,2,0,0,1,0,1,0,1,0,1,0
BAK,ASP,19,1,0,0,0,0,0,0,0,0,0,0,0
BAK,BPP,3,0,0,0,0,0,0,0,0,0,0,0,0
BAK,CPF,56,0,0,0,0,1,0,1,0,1,0,0,0
BAK,CPP,21,0,1,0,0,0,0,0,0,2,2,1,1
BAK,CSV,60,0,0,0,0,0,1,0,1,0,0,0,0
BAK,DEM,3640,7,5,7,3,11,12,6,7,7,4,30,11
BAK,ECO,8,0,0,0,0,0,0,0,0,0,0,0,0
BAK,FFP,3,0,1,0,0,0,0,0,0,0,0,0,0
BAK,GRE,13,0,1,0,0,0,0,0,0,0,0,0,0
BAK,IND,232,2,1,0,0,2,1,2,1,3,3,2,0
BAK,LPF,58,1,0,0,0,0,1,0,1,0,1,1,1
BAK,NPA,2536,9,8,7,2,6,7,2,5,2,4,33,6
BAK,PSL,2,0,0,0,0,0,0,0,0,0,0,0,0
BAK,REP,13551,27,29,20,15,58,42,27,24,13,20,55,18
BAY,AMF,322,18,24,0,0,14,7,4,2,25,13,5,12
BAY,ASP,124,1,2,0,0,2,0,1,0,3,1,0,3
BAY,BPP,85,1,1,0,0,2,0,0,0,1,1,1,2
BAY,CPF,322,1,0,0,0,1,1,0,1,4,0,1,20
BAY,CPP,142,5,3,0,1,4,3,1,1,5,6,3,5
BAY,CSV,759,3,4,2,0,1,2,0,2,3,4,2,31
BAY,DEM,28286,109,109,63,45,143,89,55,41,61,43,97,634
BAY,ECO,67,1,1,0,1,0,1,0,0,0,2,0,1
BAY,FFP,23,1,1,0,0,0,0,0,0,0,0,0,1
BAY,GRE,171,3,1,0,0,2,0,1,0,4,1,1,2
BAY,IND,3168,23,25,1,4,28,19,6,11,28,31,10,53
BAY,JEF,1,0,0,0,0,0,0,0,0,0,0,0,0
BAY,LPF,701,3,2,2,1,7,2,4,1,3,1,5,7
BAY,MGT,2,0,0,0,0,0,0,0,0,0,0,0,0
BAY,NPA,30894,140,123,50,38,129,69,57,32,77,43,88,593
BAY,PSL,30,0,1,0,0,2,1,0,1,1,0,1,1
BAY,REP,82563,358,300,142,92,394,295,163,112,107,86,122,1131
BRA,AMF,52,1,0,0,0,0,0,0,1,7,6,3,1
BRA,ASP,15,0,0,0,0,0,1,0,1,1,1,1,0
BRA,BPP,4,0,0,0,0,0,0,0,0,0,1,0,0
BRA,CPF,37,0,0,0,0,0,0,0,0,0,0,1,0
BRA,CPP,13,0,0,0,0,0,0,0,0,0,0,0,0
BRA,CSV,81,1,1,0,0,0,1,0,1,0,0,0,0
BRA,DEM,4412,11,3,13,11,21,9,12,9,16,9,41,10
BRA,ECO,3,0,0,0,0,0,0,0,0,0,0,0,0
BRA,FFP,6,0,0,0,0,0,0,0,0,1,1,0,0
BRA,GRE,7,0,0,0,0,0,0,0,0,0,0,0,0
BRA,IND,272,1,1,0,0,2,2,2,2,2,5,4,1
BRA,LPF,68,0,0,0,0,1,0,1,0,2,0,0,0
BRA,NPA,2813,9,10,3,4,10,11,6,9,7,10,29,7
BRA,REP,11743,24,16,23,16,66,41,47,39,28,21,69,14
BRE,AMF,375,16,18,0,0,15,13,5,3,25,36,11,10
