extract_month,zip_code,party_affiliation,voter_count
2026-03,32003,AMF,12
2026-03,32003,ASP,15
2026-03,32003,CPF,27
2026-03,32003,CSV,65
2026-03,32003,DEM,3521
2026-03,32003,IND,461
2026-03,32003,LPF,80
2026-03,32003,NPA,4327
2026-03,32003,REP,12549
2026-03,320034412,REP,10
2026-03,32008,CSV,17
2026-03,32008,DEM,614
2026-03,32008,IND,75
2026-03,32008,NPA,606
2026-03,32008,REP,2974
2026-03,32009,DEM,230
2026-03,32009,IND,40
2026-03,32009,LPF,10
2026-03,32009,NPA,358
2026-03,32009,REP,2075
2026-03,32011,AMF,17
2026-03,32011,CPF,22
2026-03,32011,CSV,49
2026-03,32011,DEM,1327
2026-03,32011,IND,194
2026-03,32011,LPF,48
2026-03,32011,NPA,1963
2026-03,32011,REP,8638
2026-03,32024,AMF,22
2026-03,32024,CPF,36
2026-03,32024,CPP,16
2026-03,32024,CSV,66
2026-03,32024,DEM,2807
2026-03,32024,GRE,12
2026-03,32024,IND,225
2026-03,32024,LPF,42
2026-03,32024,NPA,2577
2026-03,32024,REP,9249
2026-03,32025,AMF,14
2026-03,32025,CPF,34
2026-03,32025,CPP,11
2026-03,32025,CSV,53
2026-03,32025,DEM,3250
2026-03,32025,IND,224
2026-03,32025,LPF,42
2026-03,32025,NPA,2170
2026-03,32025,REP,6586
2026-03,32033,CSV,10
2026-03,32033,DEM,606
2026-03,32033,IND,55
2026-03,32033,LPF,16
2026-03,32033,NPA,577
2026-03,32033,REP,1789
2026-03,320332032,REP,11
2026-03,320332065,REP,11
2026-03,320334021,REP,10
2026-03,320334040,REP,12
2026-03,32034,AMF,19
2026-03,32034,BPP,15
2026-03,32034,CPF,42
2026-03,32034,CPP,12
2026-03,32034,CSV,93
2026-03,32034,DEM,7388
2026-03,32034,ECO,11
2026-03,32034,GRE,25
2026-03,32034,IND,1020
2026-03,32034,LPF,148
2026-03,32034,NPA,7928
2026-03,32034,REP,19415
2026-03,32038,CPF,17
2026-03,32038,CSV,22
2026-03,32038,DEM,1484
2026-03,32038,IND,161
2026-03,32038,LPF,40
2026-03,32038,NPA,1559
2026-03,32038,REP,4428
2026-03,32040,CPF,18
2026-03,32040,CSV,14
2026-03,32040,DEM,833
2026-03,32040,IND,77
2026-03,32040,LPF,18
2026-03,32040,NPA,656
2026-03,32040,REP,4250
2026-03,32043,AMF,29
2026-03,32043,ASP,16
2026-03,32043,BPP,31
2026-03,32043,CPF,51
2026-03,32043,CPP,18
2026-03,32043,CSV,171
2026-03,32043,DEM,4983
2026-03,32043,GRE,14
2026-03,32043,IND,671
2026-03,32043,LPF,133
2026-03,32043,NPA,5862
2026-03,32043,REP,16637
2026-03,320437059,REP,10
2026-03,320439501,REP,10
2026-03,320439504,REP,10
2026-03,320439509,REP,10
2026-03,320439532,REP,11
2026-03,320439549,REP,12
2026-03,320439554,REP,10
2026-03,320439555,REP,14
2026-03,320439589,REP,10
2026-03,320439602,REP,11
2026-03,32044,DEM,229
2026-03,32044,IND,17
2026-03,32044,NPA,218
2026-03,32044,REP,858
2026-03,32046,CPF,11
2026-03,32046,CSV,24
2026-03,32046,DEM,911
2026-03,32046,IND,116
2026-03,32046,LPF,30
2026-03,32046,NPA,1096
2026-03,32046,REP,5817
2026-03,32052,CSV,18
2026-03,32052,DEM,1606
2026-03,32052,IND,70
2026-03,32052,NPA,619
2026-03,32052,REP,1948
2026-03,32053,CSV,16
2026-03,32053,DEM,762
2026-03,32053,IND,40
2026-03,32053,NPA,352
2026-03,32053,REP,1362
2026-03,32054,DEM,1497
2026-03,32054,IND,95
2026-03,32054,LPF,21
2026-03,32054,NPA,725
2026-03,32054,REP,4671
2026-03,32055,AMF,17
2026-03,32055,CPF,28
2026-03,32055,CPP,14
2026-03,32055,CSV,38
2026-03,32055,DEM,3578
2026-03,32055,IND,139
2026-03,32055,LPF,34
2026-03,32055,NPA,1705
2026-03,32055,REP,5042
2026-03,32058,CPF,10
2026-03,32058,DEM,599
2026-03,32058,IND,29
2026-03,32058,LPF,14
2026-03,32058,NPA,316
2026-03,32058,REP,1636
2026-03,32059,DEM,447
2026-03,32059,IND,24
2026-03,32059,NPA,340
2026-03,32059,REP,1351
2026-03,32060,AMF,25
2026-03,32060,ASP,11
2026-03,32060,CPF,38
2026-03,32060,CSV,75
2026-03,32060,DEM,3234
2026-03,32060,GRE,13
2026-03,32060,IND,263
2026-03,32060,LPF,55
2026-03,32060,NPA,2270
2026-03,32060,REP,9582
2026-03,32061,DEM,37
2026-03,32061,NPA,24
2026-03,32061,REP,171
2026-03,32062,DEM,334
2026-03,32062,IND,46
2026-03,32062,NPA,330
2026-03,32062,REP,1434
2026-03,32063,AMF,14
2026-03,32063,ASP,11
2026-03,32063,CPF,30
2026-03,32063,CSV,32
2026-03,32063,DEM,1587
2026-03,32063,IND,103
2026-03,32063,LPF,27
2026-03,32063,NPA,1231
2026-03,32063,REP,6015
2026-03,32064,CSV,11
2026-03,32064,DEM,1454
2026-03,32064,IND,57
2026-03,32064,LPF,11
2026-03,32064,NPA,506
2026-03,32064,REP,1453
2026-03,32065,AMF,45
2026-03,32065,ASP,21
2026-03,32065,BPP,33
2026-03,32065,CPF,69
2026-03,32065,CPP,37
2026-03,32065,CSV,100
2026-03,32065,DEM,7780
2026-03,32065,ECO,10
2026-03,32065,GRE,18
2026-03,32065,IND,654
2026-03,32065,LPF,96
2026-03,32065,NPA,6948
2026-03,32065,REP,10307
2026-03,320653223,DEM,10
2026-03,320653224,DEM,11
2026-03,320653225,DEM,10
2026-03,320655730,REP,11
2026-03,320657414,REP,10
2026-03,320657568,REP,10
2026-03,32066,DEM,631
2026-03,32066,IND,43
2026-03,32066,NPA,269
2026-03,32066,REP,2519
2026-03,32068,AMF,61
2026-03,32068,ASP,26
2026-03,32068,BPP,41
2026-03,32068,CPF,87
2026-03,32068,CPP,44
2026-03,32068,CSV,207
2026-03,32068,DEM,7163
2026-03,32068,ECO,15
2026-03,32068,FFP,10
2026-03,32068,GRE,30
2026-03,32068,IND,856
2026-03,32068,LPF,181
2026-03,32068,NPA,9127
2026-03,32068,REP,23378
2026-03,320683141,REP,10
2026-03,320684142,REP,14
2026-03,320686202,REP,10
2026-03,320686513,REP,11
2026-03,320686606,REP,10
2026-03,32071,CSV,13
2026-03,32071,DEM,527
2026-03,32071,IND,53
2026-03,32071,LPF,10
2026-03,32071,NPA,547
2026-03,32071,REP,2007
2026-03,32073,AMF,46
2026-03,32073,ASP,16
2026-03,32073,BPP,32
2026-03,32073,CPF,55
2026-03,32073,CPP,24
2026-03,32073,CSV,100
2026-03,32073,DEM,6990
2026-03,32073,ECO,12
2026-03,32073,GRE,23
2026-03,32073,IND,626
2026-03,32073,LPF,103
2026-03,32073,NPA,6611
2026-03,32073,REP,11941
2026-03,320734243,REP,10
2026-03,32080,CPF,11
2026-03,32080,CSV,34
2026-03,32080,DEM,3749
2026-03,32080,GRE,18
2026-03,32080,IND,352
2026-03,32080,LPF,57
2026-03,32080,NPA,3371
2026-03,32080,REP,7465
2026-03,320804520,REP,13
2026-03,320804541,REP,10
2026-03,320805816,REP,10
2026-03,320806171,NPA,12
2026-03,320806583,REP,11
2026-03,320807603,REP,10
2026-03,320808204,REP,11
2026-03,320808738,REP,10
2026-03,32081,CSV,59
2026-03,32081,DEM,4100
2026-03,32081,IND,483
2026-03,32081,LPF,70
2026-03,32081,NPA,5328
2026-03,32081,REP,11925
2026-03,320815015,REP,10
2026-03,320815022,REP,16
2026-03,320817012,REP,11
2026-03,320817030,REP,12
2026-03,320817031,REP,12
2026-03,32082,CPF,18
2026-03,32082,CSV,44
2026-03,32082,DEM,3479
2026-03,32082,GRE,12
2026-03,32082,IND,529
2026-03,32082,LPF,51
2026-03,32082,NPA,5041
2026-03,32082,REP,11440
2026-03,320821295,REP,13
2026-03,320821314,REP,10
2026-03,320821512,REP,10
2026-03,320821804,REP,10
2026-03,320821819,REP,12
2026-03,320822053,REP,13
2026-03,320822055,REP,10
2026-03,320822305,REP,12
2026-03,320822310,REP,11
2026-03,320822311,REP,15
2026-03,320822316,REP,13
2026-03,320822318,REP,11
2026-03,320822319,REP,15
2026-03,320822442,REP,12
2026-03,320822505,REP,22
2026-03,320822512,REP,17
2026-03,320822541,REP,11
2026-03,320822542,REP,11
2026-03,320822543,REP,16
2026-03,320822566,REP,18
2026-03,320822636,REP,12
2026-03,320822701,REP,11
2026-03,320822702,REP,19
2026-03,320822798,REP,10
2026-03,320822808,REP,13
2026-03,320822809,REP,10
2026-03,320822817,REP,13
2026-03,320822827,REP,13
2026-03,320822834,REP,11
2026-03,320822938,REP,10
2026-03,320823000,REP,14
2026-03,320823003,REP,10
2026-03,320823013,REP,12
2026-03,320823026,REP,10
2026-03,320823031,REP,21
2026-03,320823040,REP,11
2026-03,320823102,REP,14
2026-03,320823103,REP,13
2026-03,320823106,REP,20
2026-03,320823109,REP,18
2026-03,320823110,REP,16
2026-03,320823115,REP,12
2026-03,320823132,REP,17
2026-03,320823134,REP,12
2026-03,320823209,REP,22
2026-03,320823217,REP,17
2026-03,320823517,REP,15
2026-03,320823524,REP,11
2026-03,320823625,REP,23
2026-03,320823659,REP,12
2026-03,320823663,REP,11
2026-03,320823668,REP,13
2026-03,320823709,REP,15
2026-03,320823813,REP,16
2026-03,320823840,REP,14
2026-03,320823914,REP,13
2026-03,320823932,REP,17
2026-03,320823948,REP,12
2026-03,320824027,REP,13
2026-03,320824036,REP,11
2026-03,320824038,REP,20
2026-03,320824109,REP,11
2026-03,320824110,REP,11
2026-03,320824127,DEM,10
2026-03,320824127,REP,21
2026-03,320824135,REP,15
2026-03,320824145,REP,10
2026-03,320824167,REP,12
2026-03,320824169,REP,10
2026-03,320824177,REP,10
2026-03,320824202,REP,11
2026-03,320824204,REP,13
2026-03,320824205,REP,10
2026-03,320824388,REP,10
2026-03,320824529,REP,10
2026-03,320824562,REP,10
2026-03,320824601,REP,11
2026-03,320824700,REP,12
2026-03,320824704,REP,18
2026-03,320824705,REP,10
2026-03,320824706,REP,13
2026-03,320825106,REP,15
2026-03,320825114,REP,11
2026-03,32083,DEM,256
2026-03,32083,NPA,110
2026-03,32083,REP,596
2026-03,32084,AMF,43
2026-03,32084,ASP,19
2026-03,32084,BPP,13
2026-03,32084,CPF,39
2026-03,32084,CPP,19
2026-03,32084,CSV,113
2026-03,32084,DEM,6751
2026-03,32084,ECO,11
2026-03,32084,GRE,28
2026-03,32084,IND,595
2026-03,32084,LPF,104
2026-03,32084,NPA,5566
2026-03,32084,REP,11235
2026-03,320840546,REP,11
2026-03,320841881,REP,10
2026-03,320846558,REP,10
2026-03,320848370,REP,10
2026-03,32086,AMF,28
2026-03,32086,CPF,24
2026-03,32086,CPP,13
2026-03,32086,CSV,67
2026-03,32086,DEM,4786
2026-03,32086,GRE,15
2026-03,32086,IND,591
2026-03,32086,LPF,86
2026-03,32086,NPA,4641
2026-03,32086,REP,11210
2026-03,320861822,REP,10
2026-03,320863200,REP,12
2026-03,320865041,REP,10
2026-03,320865311,REP,12
