affordability_band,age_band,party_affiliation,voters
1: low pressure,18-24,AMF,314
1: low pressure,18-24,ASP,144
1: low pressure,18-24,BPP,139
1: low pressure,18-24,CPF,395
1: low pressure,18-24,CPP,107
1: low pressure,18-24,CSV,635
1: low pressure,18-24,DEM,27418
1: low pressure,18-24,ECO,87
1: low pressure,18-24,FFP,23
1: low pressure,18-24,GRE,188
1: low pressure,18-24,IND,4200
1: low pressure,18-24,LPF,279
1: low pressure,18-24,NPA,34790
1: low pressure,18-24,PSL,59
1: low pressure,18-24,REP,39715
1: low pressure,25-34,AMF,401
1: low pressure,25-34,ASP,174
1: low pressure,25-34,BPP,264
1: low pressure,25-34,CPF,346
1: low pressure,25-34,CPP,148
1: low pressure,25-34,CSV,809
1: low pressure,25-34,DEM,72919
1: low pressure,25-34,ECO,129
1: low pressure,25-34,FFP,37
1: low pressure,25-34,GRE,328
1: low pressure,25-34,IND,7700
1: low pressure,25-34,LPF,1086
1: low pressure,25-34,NPA,77159
1: low pressure,25-34,PSL,120
1: low pressure,25-34,REP,81830
1: low pressure,35-44,AMF,286
1: low pressure,35-44,ASP,109
1: low pressure,35-44,BPP,172
1: low pressure,35-44,CPF,321
1: low pressure,35-44,CPP,151
1: low pressure,35-44,CSV,605
1: low pressure,35-44,DEM,71162
1: low pressure,35-44,ECO,83
1: low pressure,35-44,FFP,41
1: low pressure,35-44,GRE,283
1: low pressure,35-44,IND,5923
1: low pressure,35-44,LPF,1315
1: low pressure,35-44,NPA,81701
1: low pressure,35-44,PSL,72
1: low pressure,35-44,REP,80967
1: low pressure,45-54,AMF,253
1: low pressure,45-54,ASP,91
1: low pressure,45-54,BPP,127
1: low pressure,45-54,CPF,255
1: low pressure,45-54,CPP,146
1: low pressure,45-54,CSV,516
1: low pressure,45-54,DEM,59954
1: low pressure,45-54,ECO,72
1: low pressure,45-54,FFP,35
1: low pressure,45-54,GRE,202
1: low pressure,45-54,IND,5520
1: low pressure,45-54,LPF,877
1: low pressure,45-54,NPA,74226
1: low pressure,45-54,PSL,14
1: low pressure,45-54,REP,87650
1: low pressure,55-64,AMF,257
1: low pressure,55-64,ASP,89
1: low pressure,55-64,BPP,98
1: low pressure,55-64,CPF,242
1: low pressure,55-64,CPP,148
1: low pressure,55-64,CSV,735
1: low pressure,55-64,DEM,77491
1: low pressure,55-64,ECO,84
1: low pressure,55-64,FFP,36
1: low pressure,55-64,GRE,139
1: low pressure,55-64,IND,8092
1: low pressure,55-64,LPF,665
1: low pressure,55-64,NPA,82174
1: low pressure,55-64,REP,147594
1: low pressure,65-74,AMF,175
1: low pressure,65-74,ASP,58
1: low pressure,65-74,BPP,29
1: low pressure,65-74,CPF,186
1: low pressure,65-74,CPP,113
1: low pressure,65-74,CSV,632
1: low pressure,65-74,DEM,100904
1: low pressure,65-74,ECO,74
1: low pressure,65-74,FFP,20
1: low pressure,65-74,GRE,118
1: low pressure,65-74,IND,9030
1: low pressure,65-74,LPF,411
1: low pressure,65-74,NPA,78616
1: low pressure,65-74,REP,164976
1: low pressure,75+,AMF,75
1: low pressure,75+,ASP,28
1: low pressure,75+,BPP,16
1: low pressure,75+,CPF,95
1: low pressure,75+,CPP,76
1: low pressure,75+,CSV,374
1: low pressure,75+,DEM,122013
1: low pressure,75+,ECO,39
1: low pressure,75+,FFP,13
1: low pressure,75+,GRE,71
1: low pressure,75+,IND,7297
1: low pressure,75+,LPF,211
1: low pressure,75+,NPA,79528
1: low pressure,75+,REP,186994
2: below average,18-24,AMF,1074
2: below average,18-24,ASP,424
2: below average,18-24,BPP,549
2: below average,18-24,CPF,1144
2: below average,18-24,CPP,313
2: below average,18-24,CSV,1818
2: below average,18-24,DEM,74004
2: below average,18-24,ECO,215
2: below average,18-24,FFP,91
2: below average,18-24,GRE,487
2: below average,18-24,IND,10334
2: below average,18-24,LPF,688
2: below average,18-24,NPA,87236
2: below average,18-24,PSL,193
2: below average,18-24,REP,99353
2: below average,25-34,AMF,1090
2: below average,25-34,ASP,439
2: below average,25-34,BPP,762
2: below average,25-34,CPF,1020
2: below average,25-34,CPP,398
2: below average,25-34,CSV,2194
2: below average,25-34,DEM,159199
2: below average,25-34,ECO,289
2: below average,25-34,FFP,110
2: below average,25-34,GRE,762
2: below average,25-34,IND,16188
2: below average,25-34,LPF,2850
2: below average,25-34,NPA,161758
2: below average,25-34,PSL,282
2: below average,25-34,REP,180713
2: below average,35-44,AMF,855
2: below average,35-44,ASP,282
2: below average,35-44,BPP,627
2: below average,35-44,CPF,881
2: below average,35-44,CPP,415
2: below average,35-44,CSV,1837
2: below average,35-44,DEM,151411
2: below average,35-44,ECO,154
2: below average,35-44,FFP,105
2: below average,35-44,GRE,645
2: below average,35-44,IND,12752
2: below average,35-44,LPF,3372
2: below average,35-44,NPA,164578
2: below average,35-44,PSL,107
2: below average,35-44,REP,198126
2: below average,45-54,AMF,716
2: below average,45-54,ASP,245
2: below average,45-54,BPP,425
2: below average,45-54,CPF,719
2: below average,45-54,CPP,400
2: below average,45-54,CSV,1626
2: below average,45-54,DEM,132346
2: below average,45-54,ECO,173
2: below average,45-54,FFP,81
2: below average,45-54,GRE,374
2: below average,45-54,IND,11728
2: below average,45-54,LPF,2102
2: below average,45-54,NPA,144321
2: below average,45-54,PSL,37
