zip_code,first_month,last_month,hv_first,hv_last,hv_growth_since_2000,hv_growth_5yr,hv_growth_25yr_band,hv_growth_5yr_band,mean_agi_2022,income_band,real_agi_2020,real_agi_2022,real_income_change_20_22,real_income_change_band
32003,2000-01,2026-04,157562.94545736205,443533.5179918408,1.8149608190198814,0.34051000451274627,2 150-250%,2 20-40%,113679.7238372093,4: $80-120K,124056.51554462704,127553.9228235711,0.028192048306289408,3 grew 0-5%
32008,2000-01,2026-04,56450.54376695238,269708.67514040694,3.7777870174972774,0.3736644095449273,4 350-450%,2 20-40%,58701.652892561986,3: $55-80K,63375.26487788284,65865.97723791342,0.039301016963477986,3 grew 0-5%
32009,2000-01,2026-04,131443.58556139472,402553.22927355836,2.0625551452682616,0.3920433253775657,2 150-250%,2 20-40%,79349.68553459119,3: $55-80K,87842.96037664602,89034.02755664496,0.013559051002971279,3 grew 0-5%
32011,2000-01,2026-04,103137.81521376965,391684.12370822375,2.797677145830515,0.380940794346319,3 250-350%,2 20-40%,74834.17890520694,3: $55-80K,81976.6459701569,83967.41968083239,0.02428464457304358,3 grew 0-5%
32024,2000-01,2026-04,111820.04562851966,319806.2729104801,1.8600084279424909,0.3690389357915438,2 150-250%,2 20-40%,64967.08004509583,3: $55-80K,68103.6381383533,72896.07710528681,0.07036979371348151,4 grew 5-10%
32025,2000-01,2026-04,78017.82076095142,232909.79057833485,1.9853408914352575,0.40124536789440235,2 150-250%,3 40-60%,54045.14501891551,2: $35-55K,55730.526326553845,60641.15942613719,0.08811388341838744,4 grew 5-10%
32033,2000-01,2026-04,127760.53919966819,378033.38983325544,1.9589213711946925,0.26040886429335464,2 150-250%,2 20-40%,73885.12396694215,3: $55-80K,78447.82916398004,82902.5360211561,0.056785597570384816,4 grew 5-10%
32034,2000-01,2026-04,153923.85134129168,613375.6815889673,2.9849294066125207,0.3865692350946375,3 250-350%,2 20-40%,171322.0870379036,5: $120-200K,178173.94574262528,192231.32789537174,0.07889695709524513,4 grew 5-10%
32038,2000-01,2026-04,74878.64008031733,302322.6795210909,3.0375022729687595,0.3546621425902883,3 250-350%,2 20-40%,57178.097345132745,3: $55-80K,60328.51484560016,64156.477248341806,0.06345195820813121,4 grew 5-10%
32040,2004-03,2026-04,152852.95259497743,376085.11155670596,1.4604373364853385,0.34582185819002165,1 <150% (low),2 20-40%,70403.95778364116,3: $55-80K,79594.83159005656,78996.50610049353,-0.0075171399651253745,2 declined 0-5%
32043,2000-01,2026-04,107286.1577796747,346619.84510107664,2.230797451176349,0.29935930182183235,2 150-250%,2 20-40%,91860.67244014263,4: $80-120K,103002.20589795752,103071.93514764737,0.0006769685084115906,3 grew 0-5%
32044,2000-01,2026-04,61193.48055927507,270373.67033132864,3.418341102030161,0.436389657078061,3 250-350%,3 40-60%,60475.94936708861,3: $55-80K,59158.73040248602,67856.82017752148,0.14702968971541597,5 grew >=10%
32046,2000-01,2026-04,83523.68173666492,360505.38503154065,3.316205626185744,0.34907273444109066,3 250-350%,2 20-40%,70760.69868995633,3: $55-80K,75723.57371062932,79396.78594368964,0.04850817325522905,3 grew 0-5%
32052,2000-01,2026-04,51990.511654044094,180898.4219523405,2.479450695851524,0.395077859052003,2 150-250%,2 20-40%,51881.67938931298,2: $35-55K,51794.37851898696,58213.65064414062,0.12393762235800287,5 grew >=10%
32053,2000-01,2026-04,54238.704535519246,243348.33460925412,3.486617751902479,0.4948005379288607,3 250-350%,3 40-60%,50531.168831168834,2: $35-55K,55922.90753672735,56698.315158697165,0.013865652844687437,3 grew 0-5%
32054,2009-08,2026-04,119384.19577661926,278559.04043041397,1.333299132421414,0.5232171915667931,1 <150% (low),3 40-60%,58583.78378378379,3: $55-80K,65748.61900949341,65733.72263087454,-0.0002265656502491442,2 declined 0-5%
32055,2000-01,2026-04,58658.33457615657,220624.28511375815,2.7611754017209593,0.3277643177022771,3 250-350%,2 20-40%,56551.69867060561,3: $55-80K,58218.857793681214,63453.6288819802,0.08991538629717222,4 grew 5-10%
32058,2000-01,2026-04,66804.59568416189,234430.0719766422,2.50919079107938,0.3662208490848977,3 250-350%,2 20-40%,56433.12101910828,3: $55-80K,57792.67514712481,63320.57925714692,0.09565060097926814,4 grew 5-10%
32059,2000-01,2026-04,67527.72010446545,252854.75114273475,2.7444585831058443,0.5492048754374286,3 250-350%,3 40-60%,55387.096774193546,3: $55-80K,62619.41214119074,62146.89153779159,-0.007545912477327943,2 declined 0-5%
32060,2007-08,2026-04,183887.937520306,299205.48043450015,0.6271077073854292,0.4097802984492922,1 <150% (low),3 40-60%,62250.39548022599,3: $55-80K,62596.081819930296,69847.83101859134,0.11584989008612556,5 grew >=10%
32063,2004-03,2026-04,144825.54273214046,301366.32007818687,1.0808920470305,0.31090094633326526,1 <150% (low),2 20-40%,66518.93203883494,3: $55-80K,71760.17805752144,74637.32702006021,0.040093949602975076,3 grew 0-5%
32064,2007-07,2026-04,116650.13844992963,181320.43693831694,0.5543953856183901,0.4956651397166367,1 <150% (low),3 40-60%,51195.43973941368,2: $35-55K,52127.97720771552,57443.65792787509,0.10197366183955414,5 grew >=10%
